緯度,経度,住所,名称,サービス種別,費用,療育内容,電話番号
35.908108,139.664444,埼玉県さいたま市見沼区御蔵1522-19,スマイルスタディ,児童発達支援・放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、課外活動／調理活動／創作活動,048-716-0563
35.908108,139.664444,埼玉県さいたま市見沼区御蔵1522-20,スマイルリズム,児童発達支援・放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、課外活動／調理活動／創作活動,048-716-5832
35.908108,139.664444,埼玉県さいたま市見沼区御蔵1522-21,スマイルライフ,児童発達支援・放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、学習支援、日常動作、SST、調理活動／創作活動／課外活動,048-716-3859
35.904076,139.677765,埼玉県さいたま市見沼区山118-5,児童デイ　あったまぁる山,放課後デイ,受給者証: 月上限4600円,音楽/リトミック、学習支援、日常動作、SST、ダンス・ストレッチ／工作・作業／調理活動,048-872-6511
35.957424,139.662003,埼玉県さいたま市見沼区春野2-3-5,さいたま市はるの園,児童発達支援,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、音楽/リトミック、日常動作、SST、感触遊び,048-682-5531
35.954487,139.66481,埼玉県さいたま市見沼区深作3-33-15,放課後等デイサービス　こすもす,放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、音楽/リトミック、学習支援、日常動作、SST、タブレット学習／習字・硬筆／音楽活動,048-884-8285
35.908001,139.686203,埼玉県さいたま市見沼区染谷3-420-2,たんぽぽ療育教室,児童発達支援・放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、音楽/リトミック、学習支援、日常動作、SST、畑体験,080-5512-7560
35.929253,139.673187,埼玉県さいたま市見沼区大字新堤58-12,コペルプラス　さいたま見沼教室,児童発達支援,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、フラッシュカード／創作的活動／小集団プログラム,048-796-5992
35.934635,139.665665,埼玉県さいたま市見沼区大字風渡野430-27 ドリームコート101号室,デイジー,児童発達支援・放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、学習支援、日常動作、SST、創作活動／外出活動,048-795-4870
35.922752,139.655167,埼玉県さいたま市見沼区大和田町1-1481-1 ケーアイ大和田ビル南棟3階,サンFC大宮,放課後デイ,受給者証: 月上限4600円,粗大運動、言語指導、サッカー,048-778-9661
35.903557,139.659027,埼玉県さいたま市見沼区中川241-5,放課後等デイサービス　シャイニー,放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、音楽/リトミック、日常動作,048-681-7600
35.940155,139.644684,埼玉県さいたま市見沼区東大宮1-85-3,グローバルキッズメソッド７９,児童発達支援,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、音楽/リトミック、日常動作、SST、ダンス／郊外活動／創作活動,048-795-4451
35.949348,139.63916,埼玉県さいたま市見沼区東大宮4-17-8 ルーブルビル1階,コペルプラス　東大宮教室,児童発達支援,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST,048-780-2804
35.950745,139.638779,埼玉県さいたま市見沼区東大宮4-23-1,放課後等デイサービス　ウィズ東大宮,放課後デイ,受給者証: 月上限4600円,学習支援、日常動作、SST、創作活動,048-788-1993
35.950771,139.641129,埼玉県さいたま市見沼区東大宮5-10-10 セゾンハウス1階,ハッピーキッズスペースみんと東大宮,児童発達支援・放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、運動療育／創作・調理活動／外出,048-680-1555
35.944885,139.642685,埼玉県さいたま市見沼区東大宮5-15-1 1F,スタディラボ　Ｍｙ　room,放課後デイ,受給者証: 月上限4600円,微細運動、言語指導、学習支援、日常動作、SST、創作活動／調理活動／屋外活動,048-676-5560
35.946247,139.643555,埼玉県さいたま市見沼区東大宮5-22-21,児童デイ　きらっと,放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、創作活動／調理活動／ダンス,048-681-0360
35.948608,139.645172,埼玉県さいたま市見沼区東大宮5-34-2 山田ビル203,あすぽーと東大宮,放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、認知トレーニング／アナログゲーム療育／創作活動,048-797-6066
35.935188,139.662735,埼玉県さいたま市見沼区風渡野400-1,おひさま　見沼事業所,児童発達支援・放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、創作活動／作業指導,048-682-6810
35.882801,139.63147,埼玉県さいたま市中央区下落合6-2-5 WADA11 1階,アイダージュニア　さいたま中央教室,児童発達支援・放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、製作活動／体幹トレーニング,048-711-5910
35.882206,139.636795,埼玉県さいたま市中央区下落合1089-1,放課後デイGrannyさいたま中央,放課後デイ,受給者証: 月上限4600円,音楽/リトミック,048-767-8423
35.88308,139.639877,埼玉県さいたま市中央区下落合1655-18 メゾン下落合,放課後等デイサービス　ウィズ・ユー与野,児童発達支援・放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、外出活動／調理活動,048-708-2541
35.884186,139.636139,埼玉県さいたま市中央区下落合1711-111,ててスクール　与野教室,放課後デイ,受給者証: 月上限4600円,学習支援、日常動作、創作活動／絵画制作,048-767-8927
35.871967,139.620224,埼玉県さいたま市中央区上峰3-3-12 小川ビルV2階,プティ倶楽部　南与野,放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、学習支援、日常動作、SST、課外活動（公園、動物園、科学館等）／調理活動（おやつ作り等）／プログラミング教育活動(PC/タブレット),048-637-8686
35.871967,139.620224,埼玉県さいたま市中央区上峰3-3-12 小川ビルV1階,アフタースクール　フォーワンズ・エスキッズ,児童発達支援・放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、日常動作、SST、ダンス／創作活動,048-711-1601
35.88982,139.627426,埼玉県さいたま市中央区上落合2-10-6,カルテット　ジュニア,児童発達支援・放課後デイ,受給者証: 月上限4600円,微細運動、学習支援、日常動作、SST、創作活動,048-706-8726
35.875141,139.634735,埼玉県さいたま市中央区新中里3-7-26,バンブーワァオ　与野校,児童発達支援・放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、知育・運動・社会性,048-767-7311
35.86573,139.633621,埼玉県さいたま市中央区大戸2-7-17,さいたま市　杉の子園,児童発達支援,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、音楽/リトミック、日常動作、SST,048-855-2356
35.877819,139.610748,埼玉県さいたま市中央区八王子4-1-21,風の子クラブ,放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST,048-858-0121
35.881027,139.610046,埼玉県さいたま市中央区八王子4-7-15,児童デイサービスtokotoko,児童発達支援・放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、掃除／作業／音楽,048-856-0548
35.878338,139.607147,埼玉県さいたま市中央区八王子5-2-14,児童デイ　太陽の子,児童発達支援・放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、日常動作、ダンス／創作活動,048-711-1850
35.88625,139.62323,埼玉県さいたま市中央区本町東4-17-6,放課後等デイサービス　ハッピー,放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、学習支援、日常動作、SST、同法人の運営する生活介護での作業を職業体験／日常生活訓練の調理／毎日公園運動,048-853-2655
35.88625,139.62323,埼玉県さいたま市中央区本町東4-17-6,放課後等デイサービス　ハッピーひまわり,放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、学習支援、日常動作、SST、同法人の運営する生活介護での作業を職業体験／日常生活訓練の調理／毎日公園運動,048-853-2655
35.869968,139.629532,埼玉県さいたま市中央区鈴谷2-621-6,アイビーキッズ南与野,児童発達支援,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、日常動作、SST,048-767-6188
35.870399,139.625702,埼玉県さいたま市中央区鈴谷3-12-15,放課後等デイサービス　さくらぱれっと,児童発達支援・放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、屋外体験活動／創作活動,048-859-5200
35.870541,139.625732,埼玉県さいたま市中央区鈴谷4-5-21,さくらぱれっとアディション,放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、屋外体験活動／創作活動／調理活動,048-858-0300
35.8736,139.623291,埼玉県さいたま市中央区鈴谷7-6-1 コープ野村クローバーシティ与野壱号館1階,放課後等デイサービスまはろ　さいたま与野,放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、音楽/リトミック、学習支援、日常動作、SST、ダンス／工作活動,048-714-0356
35.867897,139.61586,埼玉県さいたま市桜区栄和3-26-22,児童デイえがお与野,児童発達支援・放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、公園活動　　　　　　　　　　　　　　　　　　／調理活動　　　　　　　　　　　　　　　　　　　／創作活動,048-789-7003
35.851715,139.621353,埼玉県さいたま市桜区桜田2-9-2 信田店舗事務所1F,児童デイサービスあさひ丸さくら,児童発達支援・放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、音楽/リトミック、日常動作、リズム体操／調理活動／外出,048-711-2834
35.866764,139.611298,埼玉県さいたま市桜区上大久保206-1 中村ビル2F,プティ倶楽部　２号館,放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、学習支援、日常動作、SST、調理活動(おやつレクレーション)／課外活動(公園遊び、博物館、畑など)／プログラミング教育活動(PC/タブレット),048-711-3244
35.870735,139.61319,埼玉県さいたま市桜区上大久保502-1,グローバルキッズメソッド６６,児童発達支援,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、音楽/リトミック、日常動作、SST、ダンス／郊外活動／創作活動,048-816-4526
35.848705,139.619736,埼玉県さいたま市桜区新開2-6-23 鴨川ハイツ101,しびらきっず,放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、日常動作、SST、調理活動／外出支援／宿泊支援,048-711-7899
35.857758,139.632645,埼玉県さいたま市桜区西堀8-27-9 ニュー氷川ハイツ1階,ハッピーテラス浦和教室,放課後デイ,受給者証: 月上限4600円,SST,048-840-6587
35.861523,139.63295,埼玉県さいたま市桜区西堀9-9-9,児童デイサービスあさひ丸みらい,児童発達支援・放課後デイ,受給者証: 月上限4600円,微細運動、音楽/リトミック、日常動作、ダンス／創作活動,048-711-9981
35.871983,139.591599,埼玉県さいたま市桜区大字塚本171,児童デイ　太陽の歌,児童発達支援・放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、日常動作、ダンス／創作活動,048-764-9902
35.855019,139.619507,埼玉県さいたま市桜区町谷4-11-25,児童デイサービス　そらまめ,放課後デイ,受給者証: 月上限4600円,ダンス／調理教室／習字教室,048-872-1333
35.843033,139.631317,埼玉県さいたま市桜区田島2-16-2,さいたま市療育センター さくら草,児童発達支援,受給者証: 月上限4600円,粗大運動、微細運動、音楽/リトミック、日常動作、SST、創作活動,048-710-5811
35.843994,139.628677,埼玉県さいたま市桜区田島5-24-15 タカラ第二ビル1階,コペルプラス　西浦和教室,児童発達支援,受給者証: 月上限4600円,粗大運動、言語指導、日常動作、SST、創作活動／音楽活動／ゲーム,048-872-9580
35.850082,139.658737,埼玉県さいたま市浦和区岸町2-5-13,児童デイえがお,児童発達支援・放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、公園活動／調理活動／創作活動,048-789-7177
35.872505,139.660889,埼玉県さいたま市浦和区駒場1-27-13 松井ビル101,放課後等デイサービス　ひろば,放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、音楽/リトミック、学習支援、日常動作、ダンス／創作活動,048-677-7192
35.856609,139.651138,埼玉県さいたま市浦和区高砂3-10-4 八千代ビル3階,体幹・脳幹・ＳＳＴソーシャルブレインズ　浦和西口教室,放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、学習支援、日常動作、SST、チームビルディング／科学実験／工作,048-767-3142
35.883705,139.638687,埼玉県さいたま市浦和区上木崎1-9-19 エムズアインス4階,てらぴぁぽけっと与野駅前教室,児童発達支援,受給者証: 月上限4600円,粗大運動、音楽/リトミック、日常動作、SST,048-711-5505
35.885162,139.638,埼玉県さいたま市浦和区上木崎1-10-17 三村K2ビル2階,コペルプラス　与野教室,児童発達支援,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、製作活動,048-767-7207
35.886356,139.645508,埼玉県さいたま市浦和区上木崎4-9-11 横田ビル2階,放課後Ｄａｙ　体幹・脳幹を鍛える人財育成塾　ソーシャルブレインズ,放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、学習支援、日常動作、SST、チームビルディング／科学実験／工作,048-711-3019
35.889122,139.645691,埼玉県さいたま市浦和区上木崎5-13-1,放課後等デイサービス　ステップ・モモ,放課後デイ,受給者証: 月上限4600円,学習支援、日常動作、SST、創作活動／戸外活動（公園遊び）,048-831-0744
35.870419,139.645767,埼玉県さいたま市浦和区常盤9-19-6,ＹＭＣＡクローバークラブ,放課後デイ,受給者証: 月上限4600円,SST、野外活動／調理活動／創作活動,048-834-0236
35.84811,139.657654,埼玉県さいたま市浦和区神明2-14-5,ビーポップ,放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、音楽/リトミック、SST,048-824-8141
35.883263,139.667496,埼玉県さいたま市浦和区大東3-23-6,みんなのアトリエ,児童発達支援・放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、音楽/リトミック、学習支援、日常動作、SST、創作と制作の活動／栽培の活動／食育の活動,048-829-7123
35.879555,139.667679,埼玉県さいたま市浦和区大東3-40-11,児童デイサービスやまざくら,児童発達支援・放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、音楽/リトミック、学習支援、日常動作、SST,048-764-8220
35.856331,139.660538,埼玉県さいたま市浦和区東高砂町6-14 東高砂ビル1階,ハビー浦和駅東口教室,児童発達支援・放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、日常動作、SST、認知機能訓練活動／課外活動,048-762-7680
35.859894,139.658585,埼玉県さいたま市浦和区東仲町25-5-1 バティマE6階・7階,コペルプラス　浦和教室,児童発達支援・放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST,048-762-7865
35.871334,139.644791,埼玉県さいたま市浦和区北浦和4-3-18 北浦和4-ビル4階,TEENS北浦和,放課後デイ,受給者証: 月上限4600円,微細運動、学習支援、SST,050-2018-3220
35.885254,139.661194,埼玉県さいたま市浦和区木崎1-9-28,あおば,放課後デイ,受給者証: 月上限4600円,粗大運動、微細運動、学習支援、日常動作、調理活動／創作活動,048-627-4040
35.874584,139.658554,埼玉県さいたま市浦和区領家1-5-16,さいたま市さくら草学園,児童発達支援,受給者証: 月上限4600円,粗大運動、微細運動、言語指導、音楽/リトミック、日常動作、スイミング,048-886-5214
