緯度,経度,名称,住所,区,診療科,電話番号,診療時間,休診日等,URL
35.9087766882274,139.628504973592,かとうこどもクリニック,埼玉県さいたま市大宮区大門町3-190 大宮豊田ビル201号室,大宮区,小児科,(048)782-6731,09:30~12:00 13:00~17:00,金、日、祝、土午後,
35.936395,139.618882,かものみやピッコロクリニック,埼玉県さいたま市北区宮原町1-435,北区,小児科,(048)783-3704,09:00~12:00 14:00~18:00,水午前 金土午後 日 祝,
35.923263,139.580699,愛和病院附属西大宮小児科クリニック,埼玉県さいたま市西区西大宮1-1-11 1階,西区,小児科,(048)788-8811,08:45~12:00 14:30~18:00,日 祝,
35.890681,139.61919,前山クリニック,埼玉県さいたま市中央区本町東6-1-3 スズキビル1階,中央区,小児科,(048)789-7190,09:30~12:30 15:30~18:30,火午前、土午後、日、祝,
35.8461681299503,139.657402840764,細井ファミリークリニック,埼玉県さいたま市南区白幡1-8-4,南区,小児科,(048)789-7700,09:00~12:00 14:00~18:00,水 日 祝,
35.9438059671803,139.710970499083,さいたま市療育センターひなぎく,埼玉県さいたま市岩槻区府内1-8-1,岩槻区,小児科,(048)796-7013,09:00~12:00 13:00~17:00,土 日 祝,
35.900444,139.733223,みそのこどもクリニック,埼玉県さいたま市岩槻区美園東1-7-15 サンシャインプラザ1階,岩槻区,小児科,(048)797-4152,09:00~12:00 14:00~18:00,木土午後 日祝,
35.8529176441804,139.627573952809,わいわい小児科,埼玉県さいたま市桜区西堀4-3-23,桜区,小児科,(048)799-2403,09:30~13:00 14:30~18:00,水 日 祝,
35.8464390284466,139.667436250475,医療法人社団ナイズ キャップスクリニックまるひろ南浦和店,埼玉県さいたま市南区南本町1-7-4 丸広百貨店5階,南区,小児科,(048)799-3155,09:00~13:00 15:00~21:00,,
35.862013,139.703491,楠本こどもクリニック,埼玉県さいたま市緑区東浦和1-21-7,緑区,小児科,(048)810-5111,09:00~12:00 14:30~18:00,日・木・祝,
35.877745,139.735548,さいたま子どものこころクリニック,埼玉県さいたま市緑区大門875-5,緑区,小児科,(048)812-3177,08:30~21:00 00:00~00:00,木,
35.897148,139.728196,ゆうすずこどもクリニック,埼玉県さいたま市緑区美園4-14-17,緑区,小児科,(048)816-3594,09:00~13:00 15:30~19:00,水金祝、土午後,
35.8833174465707,139.688641447582,こばとこどものはいしゃさん,埼玉県さいたま市緑区松木3-26-31,緑区,小児科,(048)816-9476,08:30~12:30 14:00~17:30,水日祝,
35.860612,139.648032,石田医院,埼玉県さいたま市浦和区仲町3-8-6,浦和区,小児科,(048)822-4301,09:00~12:00 14:30~17:30,木午後・土午後・日・祝,
35.889719,139.64017,にしむらこどもクリニック,埼玉県さいたま市浦和区上木崎2-7-13 メディカルモール新都心1階,浦和区,小児科,(048)823-7795,09:00~11:30 13:30~15:00,水・日・祝・土午後(第1、3),
35.860187,139.654564,すずき小児科,埼玉県さいたま市浦和区仲町1-6-6 うらわメディカルBld.3階,浦和区,小児科,(048)824-2505,09:00~12:00 14:00~18:00,木午後・土午後・日・祝,
35.873324,139.645267,とらキッズクリニック,埼玉県さいたま市浦和区北浦和3-8-10 アルシュセマ102号室,浦和区,小児科,(048)829-7857,09:00~12:00 14:00~18:00,水 日 祝,
35.877188,139.646714,権田医院キッズニイクリニック,埼玉県さいたま市浦和区北浦和2-11-23,浦和区,小児科,(048)831-5427,09:00~12:00 16:00~19:00,日・木・祝,
35.85963734,139.65475035,コアラ小児科アレルギー科,埼玉県さいたま市浦和区仲町1-3-5 モリックスビル2階,浦和区,小児科,(048)832-2525,09:00~12:00 15:00~19:00,木・土PM・日・祝,
35.8840436939086,139.638255411174,あかしこどもアレルギークリニック,埼玉県さいたま市浦和区上木崎1-9-15 グランデュオ南街区109-A,浦和区,小児科,(048)833-1001,09:00~12:00 14:00~18:00,水日祝、土午後,
35.841514,139.637822,てづかこどもクリニック,埼玉県さいたま市南区四谷3-5-3,南区,小児科,(048)838-9075,09:00~12:00 14:00~18:00,日・祝,
35.871835,139.632119,鈴木こどもクリニック,埼玉県さいたま市中央区鈴谷5-14-20,中央区,小児科,(048)840-0088,09:00~12:00 14:00~18:00,日、祝,
35.856559,139.636272,小児科清水医院,埼玉県さいたま市桜区西堀1-9-16,桜区,小児科,(048)861-1634,08:30~13:00 16:00~18:30,水PM・土PM・日・祝,
35.841428,139.660267,田辺医院,埼玉県さいたま市南区根岸4-5-11,南区,小児科・眼科,(048)861-3292,09:00~12:00 15:00~17:00,日・水・祝,
35.842825,139.651701,くでこどもクリニック,埼玉県さいたま市南区白幡4-21-7 武蔵浦和医療ビル1階,南区,小児科,(048)865-1133,09:00~12:00 14:30~17:00,水・日・祝,
35.847407,139.649556,テディベアクリニック,埼玉県さいたま市南区別所7-2-1 101D,南区,小児科,(048)865-4190,09:00~12:00 14:00~19:00,日 祝,
35.9300106437122,139.575354002593,西大宮にっこりファミリークリニック,埼玉県さいたま市西区西大宮3丁目34番6,西区,小児科,(048)871-8723,09:00~13:00 14:30~18:30,水 土午後 日祝,
35.883318,139.688649,松の木こどもクリニック,埼玉県さいたま市緑区松木3-26-31,緑区,小児科,(048)874-1133,09:00~12:30 14:00~17:30,日・祝,
35.87403,139.70657,医療法人布施小児科内科医院,埼玉県さいたま市緑区東浦和6-20-4,緑区,小児科,(048)874-1519,08:00~12:00 15:00~18:00,日・祝,
35.86755,139.68117,めざわこどもクリニック,埼玉県さいたま市緑区中尾2659-13 埼玉ライフサービス 中尾ビル3F,緑区,小児科,(048)876-5300,09:00~12:00 14:00~18:00,日 祝 水・土午後,
35.856122,139.69475,こんの内科,埼玉県さいたま市南区大谷口5610,南区,小児科,(048)881-2321,09:00~12:30 14:00~17:30,日・祝・水土午後,
35.856941,139.660772,井原小児科医院,埼玉県さいたま市浦和区東高砂町8-9,浦和区,小児科,(048)882-2377,08:30~12:00 14:30~18:00,木・日・祝・土午後,
35.864595,139.670738,あべ小児科ファミリークリニック,埼玉県さいたま市緑区原山1-32-8,緑区,小児科,(048)882-5356,08:30~12:00 15:30~17:00,木・土午後・日・祝,
35.847922,139.674019,どんぐりクリニック,埼玉県さいたま市南区南浦和3-18-15,南区,小児科,(048)883-3666,09:00~12:00 15:00~18:30,水・日・祝,
35.8720601224536,139.651748319491,しろくまサンの小児科アレルギー科,埼玉県さいたま市浦和区元町2-18-13 2階,浦和区,小児科,(048)884-4690,09:00~12:00 14:30~18:00,木 日 祝,
35.874311,139.67567,岩間こどもクリニック,埼玉県さいたま市緑区原山3-17-13,緑区,小児科・皮膚科,(048)884-7711,09:00~12:00 15:00~18:30,日・水・祝 土曜午後休診,
35.879288,139.666332,川原小児科内科医院,埼玉県さいたま市浦和区瀬ヶ崎3-17-12,浦和区,小児科,(048)886-1714,09:00~12:00 13:00~16:30,木・日・祭,
35.8667276296567,139.633548551485,ステラキッズクリニック南与野,埼玉県さいたま市中央区大戸6-28-8,中央区,小児科,(050)3528-3191,09:00~13:00 14:00~18:00,水午後,
