緯度,経度,名称,住所,区,診療科,電話番号,診療時間,休診日等,URL
35.844812,139.669533,佐藤耳鼻咽喉科,埼玉県さいたま市南区文蔵2-1-3,南区,耳鼻咽喉科,(048)862-8373,10:00~12:30 14:30~18:00,火午後・水・金午後・日・祝,
35.848688,139.625895,医療法人社団松弘会三愛病院,埼玉県さいたま市桜区田島4-35-17,桜区,皮膚科・眼科・耳鼻咽喉科,(048)866-1717,,,
35.89108,139.67778,さいたま市立病院,埼玉県さいたま市緑区三室2460,緑区,皮膚科・眼科・耳鼻咽喉科,(048)873-4111,,,
35.86572,139.698144,片野耳鼻咽喉科,埼玉県さいたま市緑区東浦和3-13-11,緑区,耳鼻咽喉科,(048)874-7110,09:30~12:30 15:00~18:00,水・日・祭,
35.8496234120425,139.672251818351,耳鼻咽喉科さくら診療所,埼玉県さいたま市南区南浦和2-31-19 植木ビル5階,南区,耳鼻咽喉科,(048)881-8733,08:30~11:45 14:30~18:00,水日祝・土午後,
35.859735,139.659719,荒木医院,埼玉県さいたま市浦和区東仲町27-24,浦和区,耳鼻咽喉科,(048)882-4815,09:00~12:00 16:00~18:00,日・祭,
35.871955,139.649323,さとう耳鼻咽喉科,埼玉県さいたま市浦和区元町2-8-12,浦和区,耳鼻咽喉科,(048)886-3301,09:00~12:00 14:30~18:30,日・祝,
35.869281,139.659419,いいじまクリニック,埼玉県さいたま市浦和区本太5-40-22,浦和区,耳鼻咽喉科,(048)887-0126,08:00~12:00 14:00~19:00,木,
35.864115,139.673021,のもと耳鼻咽喉科医院,埼玉県さいたま市緑区太田窪3-3-22,緑区,耳鼻咽喉科,(048)887-3387,09:00~12:00 15:00~18:00,土午後 木日祝,
35.907558,139.630325,医療法人社団ときわ大宮在宅クリニック,埼玉県さいたま市大宮区大門町3-64 プロスパー大宮ビル3階,大宮区,耳鼻咽喉科,(050)3823-2319,09:00~18:00,土 日 祝,
