緯度,経度,名称,住所,区,カテゴリ,対象学年,費用目安
35.857063,139.651917,公文式 浦和西口教室,埼玉県さいたま市浦和区高砂3-6-19,浦和区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.882664,139.645523,公文式 浦和西高前教室,埼玉県さいたま市浦和区針ヶ谷2-18-10,浦和区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.871567,139.653,公文式 浦和元町教室,埼玉県さいたま市浦和区元町2-19-12,浦和区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.866028,139.646927,公文式 常盤南教室,埼玉県さいたま市浦和区常盤5-14-21,浦和区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.863972,139.644409,公文式 常盤7丁目教室,埼玉県さいたま市浦和区常盤7-16-17,浦和区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.856457,139.61618,公文式 浦和日向教室,埼玉県さいたま市桜区道場1-13-3,桜区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.86832,139.596909,公文式 大久保東小前教室,埼玉県さいたま市桜区五関514-2,桜区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.869675,139.616867,公文式 栄和教室,埼玉県さいたま市桜区栄和4-13-4 コバデンタル2F,桜区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.863323,139.614182,公文式 栄和小前教室,埼玉県さいたま市桜区栄和5-1-15,桜区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.865616,139.621384,公文式 中島2丁目教室,埼玉県さいたま市桜区中島2-21-21 サンライズ203,桜区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.870449,139.62439,公文式 鈴谷南教室,埼玉県さいたま市桜区山久保2-7-1,桜区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.855801,139.625427,公文式 くすの木教室,埼玉県さいたま市桜区西堀5-3-23,桜区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.847034,139.672073,公文式 南浦和教室,埼玉県さいたま市南区南浦和2-42-12,南区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.840172,139.668274,公文式 文蔵郷前教室,埼玉県さいたま市南区文蔵4-29-3,南区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.846203,139.653503,公文式 武蔵浦和東口教室,埼玉県さいたま市南区白幡3-7-20,南区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.834297,139.646286,公文式 内谷教室,埼玉県さいたま市南区内谷7-1-5,南区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.844795,139.666534,公文式 大谷場小東教室,埼玉県さいたま市南区南本町1-18-1,南区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.848797,139.64238,公文式 鹿手袋教室,埼玉県さいたま市南区鹿手袋4-1-16,南区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.84787,139.653366,公文式 白幡沼教室,埼玉県さいたま市南区白幡2-16-7,南区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.845436,139.650009,公文式 白幡南教室,埼玉県さいたま市南区白幡5-1-6,南区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.859001,139.676193,公文式 善前教室,埼玉県さいたま市南区太田窪4-17-5,南区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.849525,139.631943,公文式 田島通り教室,埼玉県さいたま市桜区田島4-11-8,桜区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.857899,139.675156,公文式 太田窪4丁目公園教室,埼玉県さいたま市南区太田窪4-20-6,南区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.869152,139.702698,公文式 東浦和7丁目教室,埼玉県さいたま市緑区東浦和7-2-2,緑区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.882748,139.692612,公文式 芝原教室,埼玉県さいたま市緑区芝原2-11-13 芝原第2グリーンハイツ101,緑区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.895554,139.728943,公文式 浦和美園駅前教室,埼玉県さいたま市緑区美園4-13-6 ドルフィーノ浦和美園104,緑区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.877453,139.730453,公文式 向小北教室,埼玉県さいたま市緑区大門1024-5,緑区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.953262,139.700226,公文式 岩槻小前教室,埼玉県さいたま市岩槻区本町5-7-8 スカイマンション302,岩槻区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.945038,139.694519,公文式 本町二丁目教室,埼玉県さいたま市岩槻区本町2-10-21,岩槻区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.953312,139.688156,公文式 岩槻西町教室,埼玉県さいたま市岩槻区西町2-4-35,岩槻区,公文式,幼児/小学生/中学生/高校生,1教科月7150〜9900円
35.871788,139.646729,学研教室 学研北浦和駅前教室,埼玉県さいたま市浦和区北浦和3-2-1 サンライト北浦和2F,浦和区,学研教室,幼児/小学生/中学生,算国2教科月8800円
35.856964,139.657883,学研教室 学研スクエア浦和教室,埼玉県さいたま市浦和区高砂1-2-1 エイペックスタワー浦和212,浦和区,学研教室,幼児/小学生/中学生,算国2教科月8800円
35.90699,139.621796,学研教室 学研さいたま大宮教室,埼玉県さいたま市大宮区桜木町2-3 イオン大宮西口駅前店内,大宮区,学研教室,幼児/小学生/中学生,算国2教科月8800円
35.932701,139.622437,学研教室 学研スクエア大宮宮原イトーヨーカドー教室,埼玉県さいたま市北区宮原町1-854-1 イトーヨーカドー大宮宮原店3F,北区,学研教室,幼児/小学生/中学生,算国2教科月8800円
35.948208,139.639603,学研教室 学研東大宮駅前教室,埼玉県さいたま市見沼区東大宮4-2-1,見沼区,学研教室,幼児/小学生/中学生,算国2教科月8800円
35.933678,139.621918,学研教室 ステラタウン前教室,埼玉県さいたま市北区宮原町1-853-8,北区,学研教室,幼児/小学生/中学生,算国2教科月8800円
35.934258,139.60849,学研教室 日進宮原教室,埼玉県さいたま市北区日進町2-1880-6,北区,学研教室,幼児/小学生/中学生,算国2教科月8800円
35.854855,139.625397,学研教室 英語西堀教室,埼玉県さいたま市桜区西堀5-17-15,桜区,学研教室,幼児/小学生/中学生,算国2教科月8800円
35.871239,139.616913,学研教室 さかわ教室,埼玉県さいたま市桜区栄和4-7-3,桜区,学研教室,幼児/小学生/中学生,算国2教科月8800円
35.881569,139.603363,学研教室 白鍬教室,埼玉県さいたま市桜区白鍬580-3,桜区,学研教室,幼児/小学生/中学生,算国2教科月8800円
35.950195,139.69339,学研教室 岩槻教室,埼玉県さいたま市岩槻区本町3-1-1,岩槻区,学研教室,幼児/小学生/中学生,算国2教科月8800円
35.902992,139.623276,河合塾 大宮校,埼玉県さいたま市大宮区桜木町1-235-3,大宮区,大学受験,高校生/既卒生,年間約50万〜100万円
35.904591,139.623001,河合塾マナビス 大宮校,埼玉県さいたま市大宮区桜木町1-4-7 曙ビル2〜5F,大宮区,大学受験,高校生,1講座約2万〜5万円
35.871346,139.647415,河合塾マナビス 浦和校,埼玉県さいたま市浦和区北浦和3-1-17 安田ビル2F,浦和区,大学受験,高校生,1講座約2万〜5万円
35.872837,139.646957,河合塾マナビス 北浦和校,埼玉県さいたま市浦和区北浦和3-5-14 SIAビル2F,浦和区,大学受験,高校生,1講座約2万〜5万円
35.846378,139.669083,河合塾マナビス 南浦和校,埼玉県さいたま市南区南本町1-2-12 コイケビル1F,南区,大学受験,高校生,1講座約2万〜5万円
35.846622,139.646225,河合塾マナビス 武蔵浦和校,埼玉県さいたま市南区別所7-10-10 MIYAMA.BLD,南区,大学受験,高校生,1講座約2万〜5万円
35.892738,139.629837,河合塾マナビス さいたま新都心校,埼玉県さいたま市中央区新都心5-2 小池ビルポルトB1F,中央区,大学受験,高校生,1講座約2万〜5万円
35.905052,139.623077,東進ハイスクール 大宮校,埼玉県さいたま市大宮区桜木町1-2-1 北山ビル6・7F,大宮区,大学受験,高校生,1講座約7.7万円
