緯度,経度,名称,住所,区,カテゴリ,対象学年,費用目安
35.904213,139.622955,スクール21 大宮本部教室,埼玉県さいたま市大宮区桜木町1-160,大宮区,高校受験,小学生/中学生,月約2万〜4万円
35.90736,139.633499,スクール21 大宮東口教室,埼玉県さいたま市大宮区東町1-32-2,大宮区,高校受験,小学生/中学生,月約2万〜4万円
35.8708,139.645721,スクール21 北浦和教室,埼玉県さいたま市浦和区常盤9-19-9,浦和区,高校受験,小学生/中学生,月約2万〜4万円
35.857121,139.653427,スクール21 浦和教室,埼玉県さいたま市浦和区高砂2-2-17 浦和県庁通りビル3F〜4F,浦和区,高校受験,小学生/中学生,月約2万〜4万円
35.872208,139.652512,スクール21 浦和元町教室,埼玉県さいたま市浦和区元町2-20-7,浦和区,高校受験,小学生/中学生,月約2万〜4万円
35.845165,139.669647,スクール21 南浦和本部教室,埼玉県さいたま市南区文蔵1-17-10,南区,高校受験,小学生/中学生,月約2万〜4万円
35.869686,139.701614,スクール21 東浦和教室,埼玉県さいたま市緑区東浦和7-5-3,緑区,高校受験,小学生/中学生,月約2万〜4万円
35.843513,139.646683,スクール21 武蔵浦和ラムザタワー教室,埼玉県さいたま市南区沼影1-11-2 武蔵浦和SKY&GARDEN A棟,南区,高校受験,小学生/中学生,月約2万〜4万円
35.857174,139.653168,国大セミナー 浦和校,埼玉県さいたま市浦和区高砂2-3-19 新高砂ビル5F,浦和区,高校受験,小学生/中学生,月約2万〜3万円
35.871273,139.644638,国大セミナー 北浦和校,埼玉県さいたま市浦和区北浦和4-3-1 ミツイビル201号室,浦和区,高校受験,小学生/中学生,月約2万〜3万円
35.859398,139.658875,国大セミナー 浦和東仲町校,埼玉県さいたま市浦和区東仲町25-28 東口ロイヤルビル3F,浦和区,高校受験,小学生/中学生,月約2万〜3万円
35.867893,139.615341,国大セミナー 埼大通り校,埼玉県さいたま市桜区栄和4-23-6 マルショウハイツ201,桜区,高校受験,小学生/中学生,月約2万〜3万円
35.853592,139.630737,国大セミナー 西堀校,埼玉県さいたま市桜区西堀6-1-20 第一グリーンビル2F,桜区,高校受験,小学生/中学生,月約2万〜3万円
35.9048,139.61702,国大セミナー 大宮校,埼玉県さいたま市大宮区桜木町4-252 ユニオンビルディング3F,大宮区,高校受験,小学生/中学生,月約2万〜3万円
35.910301,139.665619,国大セミナー 見沼校,埼玉県さいたま市見沼区御蔵74-13 グリーンハイツ101号室,見沼区,高校受験,小学生/中学生,月約2万〜3万円
35.866013,139.675735,国大セミナー 南区校,埼玉県さいたま市南区大谷口573-1 ハイリーハイツ浦和101号,南区,高校受験,小学生/中学生,月約2万〜3万円
35.859951,139.621735,国大セミナー 中浦和校,埼玉県さいたま市桜区町谷1-17-11,桜区,高校受験,小学生/中学生,月約2万〜3万円
35.905388,139.626755,ena 大宮校,埼玉県さいたま市大宮区仲町1-47 大宮SGビル5F,大宮区,高校受験,小学生/中学生,月約2万〜4万円
35.872066,139.650604,筑波進研スクール 北浦和本部校,埼玉県さいたま市浦和区元町2-17-24,浦和区,高校受験,小学生/中学生,月約1.5万〜3万円
35.895905,139.616119,筑波進研スクール 大宮校,埼玉県さいたま市大宮区上小町1302-2,大宮区,高校受験,小学生/中学生,月約1.5万〜3万円
35.929081,139.605942,筑波進研スクール 日進教室,埼玉県さいたま市北区日進町2-1059-1-2F,北区,高校受験,小学生/中学生,月約1.5万〜3万円
35.879917,139.676727,筑波進研スクール 中尾教室,埼玉県さいたま市緑区中尾577-1,緑区,高校受験,小学生/中学生,月約1.5万〜3万円
35.862385,139.630096,筑波進研スクール 西堀教室,埼玉県さいたま市桜区西堀9-26-20,桜区,高校受験,小学生/中学生,月約1.5万〜3万円
35.864834,139.669525,筑波進研スクール 太田窪教室,埼玉県さいたま市緑区太田窪1-26-13,緑区,高校受験,小学生/中学生,月約1.5万〜3万円
35.951412,139.663712,筑波進研スクール 深作教室,埼玉県さいたま市見沼区深作1-2-4,見沼区,高校受験,小学生/中学生,月約1.5万〜3万円
35.901215,139.724426,筑波進研スクール 四谷校,埼玉県さいたま市緑区美園2-11-9,緑区,高校受験,小学生/中学生,月約1.5万〜3万円
