緯度,経度,名称,住所,区,種別,電話番号
35.9362036,139.6031998,どんぐりクラブ日進北一,埼玉県さいたま市北区日進町3-203,北区,(民設）放課後児童クラブ,048-667-1304
35.936309,139.602595,どんぐりクラブ日進北二,埼玉県さいたま市北区日進町3-231-1クリアスタイル大宮101・102,北区,(民設）放課後児童クラブ,048-871-8490
35.940472,139.606778,どんぐりクラブ日進北三,埼玉県さいたま市北区日進町3-757-2,北区,(民設）放課後児童クラブ,048-783-4684
35.9541013,139.6102598,宮原小学童保育の会はちのすクラブ,埼玉県さいたま市北区吉野町1-395-1,北区,(民設）放課後児童クラブ,048-796-3912
35.9475708,139.6055997,宮原小学童保育の会クローバークラブ,埼玉県さいたま市北区宮原町4-99-9 VIP宮原1F,北区,(民設）放課後児童クラブ,048-776-9128
35.9474338,139.6102715,スマイルクラブ,埼玉県さいたま市北区宮原町4-83-13,北区,(民設）放課後児童クラブ,090-5418-8073
35.9252012,139.6076042,日進小第一学童保育の会,埼玉県さいたま市北区日進町2-911 日進小学校内,北区,(民設）放課後児童クラブ,048-652-8360
35.9277338,139.6071113,日進小第二学童保育の会,埼玉県さいたま市北区日進町2-869　2号室,北区,(民設）放課後児童クラブ,048-652-9779
35.9277338,139.6071113,日進小第三学童保育の会,埼玉県さいたま市北区日進町2-869　3号室,北区,(民設）放課後児童クラブ,048-782-5362
35.9277338,139.6071113,日進小第四学童保育の会,埼玉県さいたま市北区日進町2-869　4号室,北区,(民設）放課後児童クラブ,048-782-5314
35.938014,139.629327,大砂土わんぱくキッズ,埼玉県さいたま市北区本郷町229-1　1F,北区,(民設）放課後児童クラブ,048-652-2030
35.938014,139.629327,大砂土にこにこキッズ,埼玉県さいたま市北区本郷町229-1　2F,北区,(民設）放課後児童クラブ,048-778-8818
35.9381309,139.6265823,大砂土山ねこ,埼玉県さいたま市北区本郷町113　シンエイビル　2F,北区,(民設）放課後児童クラブ,048-663-8016
35.9306401,139.63048,げんきっず大砂土放課後児童クラブ,埼玉県さいたま市北区土呂町1-7-8　アイリスビル202,北区,(民設）放課後児童クラブ,048-788-4592
35.9306401,139.63048,げんきっず大砂土第２放課後児童クラブ,埼玉県さいたま市北区土呂町1-7-8　アイリスビル201,北区,(民設）放課後児童クラブ,048-699-0176
35.93104116,139.6337329,げんきっずあおぞら第２放課後児童クラブ,埼玉県さいたま市北区土呂町2-21-9 SUNCITYゆずり葉1F,北区,(民設）放課後児童クラブ,048-871-5455
35.9545076,139.5983168,キッズスペースきぼう,埼玉県さいたま市北区別所町42-7,北区,(民設）放課後児童クラブ,048-778-8786
35.9511662,139.5976417,キッズスペース奈良,埼玉県さいたま市北区奈良町120-6,北区,(民設）放課後児童クラブ,048-778-7125
35.9581804,139.5948431,キッズスペース別所,埼玉県さいたま市北区別所町97-5,北区,(民設）放課後児童クラブ,048-652-0577
35.95520649,139.5975525,キッズスペースうちゅう,埼玉県さいたま市北区別所町42-1　大宮別所小学校内,北区,(民設）放課後児童クラブ,048-871-8330
35.9508169,139.6232595,泰平小学童保育の会,埼玉県さいたま市北区今羽町628　泰平小学校内,北区,(民設）放課後児童クラブ,048-666-3466
35.9256792,139.6217824,東大成・植竹小かぜのこクラブ,埼玉県さいたま市北区東大成町2-86-1　2Ｆ,北区,(民設）放課後児童クラブ,048-668-6131
35.93076903,139.6191102,東大成・植竹小ゆめのこクラブ,埼玉県さいたま市北区宮原町1-12-5　2F,北区,(民設）放課後児童クラブ,048-782-5242
35.9278449,139.6246086,東大成・植竹小もりのこクラブ,埼玉県さいたま市北区植竹町1-593-2,北区,(民設）放課後児童クラブ,048-782-8929
35.93364392,139.632359,げんきっずあおぞら放課後児童クラブ,埼玉県さいたま市北区土呂町1-29-15,北区,(民設）放課後児童クラブ,048-871-5455
35.9434101,139.6302681,本郷学童保育所（第１）,埼玉県さいたま市北区本郷町1325-3,北区,(民設）放課後児童クラブ,048-668-3441
35.943076,139.63027,本郷学童保育所（第２）,埼玉県さいたま市北区本郷町1329-3,北区,(民設）放課後児童クラブ,048-668-3441
35.9332943,139.6096654,キッズスペースつばさ,埼玉県さいたま市北区日進町2-1915-1,北区,(民設）放課後児童クラブ,048-668-1664
35.9323031,139.6039442,キッズスペースみらい,埼玉県さいたま市北区日進町2-1624-1,北区,(民設）放課後児童クラブ,048-782-6515
35.9399012,139.6122013,キッズスペースたいよう,埼玉県さいたま市北区宮原町2-16-1 2階,北区,(民設）放課後児童クラブ,048-780-2826
35.93547,139.61258,キッズスペースこころ,埼玉県さいたま市北区宮原町3-53　メゾネットまりえ1号室,北区,(民設）放課後児童クラブ,048-729-8590
35.9286671,139.6085427,げんきっずつばさ放課後児童クラブ,埼玉県さいたま市北区日進町2-544-1,北区,(民設）放課後児童クラブ,048-729-8941
35.929668,139.608241,げんきっずつばさ第２放課後児童クラブ,埼玉県さいたま市北区日進町2-822-2 福富ビル１Ｆ,北区,(民設）放課後児童クラブ,048-657-8903
35.9069771,139.6427158,芝川学童保育所芝川ほたるっこ,埼玉県さいたま市大宮区天沼町1-389-3,大宮区,(民設）放課後児童クラブ,048-640-3677
35.9071183,139.6430717,芝川学童保育所芝川みどりっこ,埼玉県さいたま市大宮区天沼町1-415-2,大宮区,(民設）放課後児童クラブ,048-642-0922
35.913662,139.6371941,東小学童保育の会,埼玉県さいたま市大宮区堀の内町3-79-1,大宮区,(民設）放課後児童クラブ,048-644-9400
35.913662,139.6371941,東小第二学童保育の会,埼玉県さいたま市大宮区堀の内町3-79-1,大宮区,(民設）放課後児童クラブ,048-644-9400
35.91400047,139.6357012,東小第三学童保育の会,埼玉県さいたま市大宮区堀の内町3-145 大宮東小学校内,大宮区,(民設）放課後児童クラブ,048-644-9400
35.915883,139.638256,もとの木学童保育,埼玉県さいたま市大宮区堀の内町3-236,大宮区,(民設）放課後児童クラブ,048-783-2620
35.9037214,139.6175525,桜木げんごろう,埼玉県さいたま市大宮区桜木町4-328-1,大宮区,(民設）放課後児童クラブ,048-645-6565
35.9037251,139.6175458,桜木じゃりんこ,埼玉県さいたま市大宮区桜木町4-328-1,大宮区,(民設）放課後児童クラブ,048-645-6185
35.903375,139.6151,桜木ダンデライオン,埼玉県さいたま市大宮区桜木町4-921 1階,大宮区,(民設）放課後児童クラブ,048-729-6264
35.903375,139.6151,桜木はやぶさ,埼玉県さいたま市大宮区桜木町4-921 2階,大宮区,(民設）放課後児童クラブ,048-788-3111
35.906632,139.630051,大宮小あおぎりっ子にじ,埼玉県さいたま市大宮区大門町3-3 大宮小学校内,大宮区,(民設）放課後児童クラブ,048-645-5234
35.906632,139.630051,大宮小あおぎりっ子うみ,埼玉県さいたま市大宮区大門町3-3 大宮小学校内,大宮区,(民設）放課後児童クラブ,048-645-5234
35.906632,139.630051,大宮小あおぎりっ子そら,埼玉県さいたま市大宮区大門町3-3 大宮小学校内,大宮区,(民設）放課後児童クラブ,048-645-5234
35.8998498,139.6335568,大宮南なかよしキッズ,埼玉県さいたま市大宮区吉敷町3-95,大宮区,(民設）放課後児童クラブ,048-643-2277
35.9022296,139.6322453,大宮南すまいるキッズ,埼玉県さいたま市大宮区浅間町2-60,大宮区,(民設）放課後児童クラブ,048-782-7721
35.898383,139.63101,大宮南にじいろキッズ,埼玉県さいたま市大宮区吉敷町4-84-2 2F,大宮区,(民設）放課後児童クラブ,048-783-5321
35.902146,139.629446,大宮南みらくるキッズ,埼玉県さいたま市大宮区吉敷町1-81-1 2F,大宮区,(民設）放課後児童クラブ,048-871-6690
35.89522,139.64137,大宮南そらいろキッズ第１,埼玉県さいたま市大宮区北袋町1-190-13　2階,大宮区,(民設）放課後児童クラブ,048-657-8171
35.89522,139.64137,大宮南そらいろキッズ第２,埼玉県さいたま市大宮区北袋町1-190-13　2階,大宮区,(民設）放課後児童クラブ,048-778-9377
35.90202044,139.6402514,大宮南ななほしキッズ,埼玉県さいたま市大宮区天沼町2-728-1　2階,大宮区,(民設）放課後児童クラブ,048-778-8581
35.914945,139.6138608,大成パンダ,埼玉県さいたま市大宮区大成町2-282 大成小学校内,大宮区,(民設）放課後児童クラブ,048-652-8730
35.9157476,139.6147478,大成イルカ,埼玉県さいたま市大宮区大成町3-446-1　橋本ビル1F,大宮区,(民設）放課後児童クラブ,048-653-2000
35.9138892,139.6133278,大成カモメ,埼玉県さいたま市大宮区大成町2-365-1 2F,大宮区,(民設）放課後児童クラブ,048-668-3553
35.914945,139.6138608,大成コアラ,埼玉県さいたま市大宮区大成町2-282 大成小学校内,大宮区,(民設）放課後児童クラブ,048-778-7793
35.9138892,139.6133278,大成ツバメ,埼玉県さいたま市大宮区大成町2-365-1　3階,大宮区,(民設）放課後児童クラブ,048-778-9115
35.91762719,139.614686,大成クジラ,埼玉県さいたま市大宮区大成町3-492-7東京殖産第5ビル2階,大宮区,(民設）放課後児童クラブ,048-657-8977
35.9114841,139.6284641,大宮北小たけのこクラブ,埼玉県さいたま市大宮区宮町3-119-3,大宮区,(民設）放課後児童クラブ,048-643-1508
35.911547,139.628135,大宮北小まつのこクラブ,埼玉県さいたま市大宮区宮町3-125-1,大宮区,(民設）放課後児童クラブ,048-782-8003
35.903379,139.6028771,三橋小学童保育の会あすなろクラブ,埼玉県さいたま市大宮区三橋2-95-5,大宮区,(民設）放課後児童クラブ,048-642-8042
35.9032074,139.6037199,三橋小学童保育の会バイキングクラブ,埼玉県さいたま市大宮区三橋2-90-1,大宮区,(民設）放課後児童クラブ,048-641-9913
35.902498,139.604487,三橋小学童保育の会パレットクラブ,埼玉県さいたま市大宮区三橋2-20　三橋小学校内,大宮区,(民設）放課後児童クラブ,080-7442-0384
35.902498,139.604487,三橋小学童保育の会にじいろクラブ,埼玉県さいたま市大宮区三橋2-20　三橋小学校内,大宮区,(民設）放課後児童クラブ,080-7472-7384
35.898149,139.601607,キッズクラブみはし,埼玉県さいたま市大宮区三橋2-606,大宮区,(民設）放課後児童クラブ,048-778-9760
35.8973041,139.6161164,上小第一学童保育の会,埼玉県さいたま市大宮区上小町1370　マイシティ上小町Ⅱ-105,大宮区,(民設）放課後児童クラブ,048-647-8989
35.897642,139.6156618,上小第二学童保育の会,埼玉県さいたま市大宮区上小町1336-1　シティハイム信栄108,大宮区,(民設）放課後児童クラブ,048-778-7899
35.89973,139.61415,上小第三学童保育の会,埼玉県さいたま市大宮区上小町1107,大宮区,(民設）放課後児童クラブ,048-783-4306
35.9105745,139.6699025,片柳のぞみ,埼玉県さいたま市見沼区東新井244-1 片柳小学校内,見沼区,(民設）放課後児童クラブ,048-686-9441
35.911383,139.6709053,片柳ひかり,埼玉県さいたま市見沼区東新井244-1 片柳小学校内,見沼区,(民設）放課後児童クラブ,048-686-1702
35.9477689,139.6626638,春岡小学童保育の会,埼玉県さいたま市見沼区春岡2-35-15 ベルハイツ深作Ⅱ,見沼区,(民設）放課後児童クラブ,048-686-1761
35.9482976,139.660783,春岡小第二学童保育の会,埼玉県さいたま市見沼区春岡2-27-18 カーサ・ディ・オンブレロ104,見沼区,(民設）放課後児童クラブ,048-607-9006
35.948446,139.662071,春岡小第三学童保育の会,埼玉県さいたま市見沼区春岡2-32-14,見沼区,(民設）放課後児童クラブ,048-716-1478
35.94358504,139.6636261,春岡小第四学童保育の会,埼玉県さいたま市見沼区小深作429-4,見沼区,(民設）放課後児童クラブ,048-689-3364
35.955631,139.6615328,のびる学童ひばり,埼玉県さいたま市見沼区深作3-26-4,見沼区,(民設）放課後児童クラブ,048-677-4986
35.9551564,139.6640307,のびる学童つぐみ,埼玉県さいたま市見沼区深作3-31-6,見沼区,(民設）放課後児童クラブ,048-627-3062
35.9217565,139.6643649,大谷第一学童保育所,埼玉県さいたま市見沼区蓮沼1726　AMIRYU1号室,見沼区,(民設）放課後児童クラブ,048-685-4957
35.921653,139.664341,大谷第二学童保育所,埼玉県さいたま市見沼区蓮沼1726　AMIRYU2号室,見沼区,(民設）放課後児童クラブ,048-688-3233
35.92283752,139.6673506,大谷第三学童保育所,埼玉県さいたま市見沼区大谷1548-96,見沼区,(民設）放課後児童クラブ,048-716-4621
35.947816,139.633441,見沼小学童保育の会どろんこクラブ（第１）,埼玉県さいたま市見沼区東大宮2-43-6,見沼区,(民設）放課後児童クラブ,048-729-4324
35.947816,139.633441,見沼小学童保育の会どろんこクラブ（第２）,埼玉県さいたま市見沼区東大宮2-43-6,見沼区,(民設）放課後児童クラブ,048-729-8199
35.947816,139.633441,見沼小学童保育の会どろんこクラブ（第３）,埼玉県さいたま市見沼区東大宮2-43-6,見沼区,(民設）放課後児童クラブ,048-653-5999
35.9344102,139.656264,蓮沼小学童保育の会つばさクラブ,埼玉県さいたま市見沼区蓮沼1025-3,見沼区,(民設）放課後児童クラブ,048-685-5480
35.9344102,139.656264,蓮沼小学童保育の会なないろクラブ,埼玉県さいたま市見沼区蓮沼1025-3,見沼区,(民設）放課後児童クラブ,048-685-5480
35.9347848,139.6613766,蓮沼小学童保育の会あおぞらクラブ,埼玉県さいたま市見沼区風渡野373-5,見沼区,(民設）放課後児童クラブ,048-687-7840
35.933998,139.667642,キッズクラブはすぬま,埼玉県さいたま市見沼区風渡野328-7,見沼区,(民設）放課後児童クラブ,048-720-8838
35.934358,139.667362,キッズクラブふっとの,埼玉県さいたま市見沼区風渡野323-12,見沼区,(民設）放課後児童クラブ,048-878-8711
35.9378938,139.6460496,大砂土東小学童保育の会松の子クラブ,埼玉県さいたま市見沼区大和田町2-1054-7,見沼区,(民設）放課後児童クラブ,048-686-6949
35.939269,139.648255,大砂土東小学童保育の会松の子クラブ第２,埼玉県さいたま市見沼区堀崎町1716,見沼区,(民設）放課後児童クラブ,048-686-6950
35.93788749,139.646064,大砂土東小学童保育の会松の子クラブ第３,埼玉県さいたま市見沼区大和田町2-1054-7,見沼区,(民設）放課後児童クラブ,048-686-6949
35.909398,139.6872892,やまばと学童クラブ,埼玉県さいたま市見沼区染谷2-243-2,見沼区,(民設）放課後児童クラブ,048-689-2126
35.9304923,139.6493327,見沼あかね学童クラブ,埼玉県さいたま市見沼区大和田町2-1358,見沼区,(民設）放課後児童クラブ,090-1538-2989
35.903013,139.661009,えびっこ,埼玉県さいたま市見沼区中川227-1-1,見沼区,(民設）放課後児童クラブ,048-686-1510
35.9470143,139.6473772,しまっ子放課後児童クラブ,埼玉県さいたま市見沼区東大宮7-8-14,見沼区,(民設）放課後児童クラブ,048-793-4799
35.9500118,139.6462647,しまっ子第２放課後児童クラブ,埼玉県さいたま市見沼区東大宮6-20-5,見沼区,(民設）放課後児童クラブ,048-795-4365
35.9486564,139.6420367,しまっ子第３放課後児童クラブ,埼玉県さいたま市見沼区東大宮5-37-7　今野ビル2Ｆ,見沼区,(民設）放課後児童クラブ,048-797-6343
35.94819247,139.6436316,しまっ子第４放課後児童クラブ,埼玉県さいたま市見沼区東大宮5-35-23,見沼区,(民設）放課後児童クラブ,048-795-7753
35.8904916,139.6204091,すみれ放課後児童クラブ,埼玉県さいたま市中央区本町東5-17-25,中央区,(民設）放課後児童クラブ,048-855-5657
35.88992,139.609758,円阿弥つくしんぼ,埼玉県さいたま市中央区円阿弥4-8-31,中央区,(民設）放課後児童クラブ,048-858-0140
35.8717439,139.6258617,シリウス,埼玉県さいたま市中央区鈴谷4-13-14-102,中央区,(民設）放課後児童クラブ,048-852-5910
35.86889667,139.6296002,かたつむり学童クラブ鈴谷,埼玉県さいたま市中央区鈴谷2-739,中央区,(民設）放課後児童クラブ,048-762-7723
35.8701877,139.6352818,キッズクラブ中央大戸,埼玉県さいたま市中央区大戸6-11-18,中央区,(民設）放課後児童クラブ,048-711-5010
35.885803,139.621419,キッズクラブよの本町第１,埼玉県さいたま市中央区本町西2-9-26,中央区,(民設）放課後児童クラブ,048-767-3988
35.88449776,139.6201333,キッズクラブよの本町第２,埼玉県さいたま市中央区本町西2-9-26,中央区,(民設）放課後児童クラブ,048-767-3988
35.889327,139.6258755,新都心ジュピター,埼玉県さいたま市中央区上落合3-1-13,中央区,(民設）放課後児童クラブ,048-859-2113
35.8919808,139.6267059,新都心マーキュリー,埼玉県さいたま市中央区上落合2-5-34,中央区,(民設）放課後児童クラブ,048-711-2517
35.889139,139.626541,新都心アース,埼玉県さいたま市中央区上落合2-9-2ベルカントビル201,中央区,(民設）放課後児童クラブ,048-711-6030
35.891461,139.6300621,友愛新都心放課後児童クラブ,埼玉県さいたま市中央区新都心4-9,中央区,(民設）放課後児童クラブ,048-601-1080
35.8904054,139.6321976,友愛第２新都心放課後児童クラブ,埼玉県さいたま市中央区上落合1-5-7,中央区,(民設）放課後児童クラブ,048-853-6699
35.8910114,139.6291851,友愛第３新都心放課後児童クラブ,埼玉県さいたま市中央区上落合1-10-8,中央区,(民設）放課後児童クラブ,048-859-5152
35.89178,139.62993,友愛第４新都心放課後児童クラブ,埼玉県さいたま市中央区新都心4-12 ミツエビル401,中央区,(民設）放課後児童クラブ,048-749-1002
35.89178,139.62993,友愛第５新都心放課後児童クラブ,埼玉県さいたま市中央区新都心4-12 ミツエビル102,中央区,(民設）放課後児童クラブ,048-711-4133
35.8681393,139.604343,たんぽぽ,埼玉県さいたま市桜区大久保領家429-1,桜区,(民設）放課後児童クラブ,048-852-5077
35.8417143,139.6299591,西浦和さくらっ子,埼玉県さいたま市桜区田島6-2-24,桜区,(民設）放課後児童クラブ,048-865-6554
35.84441,139.63272,西浦和さくらっ子第２,埼玉県さいたま市桜区田島2-11-14,桜区,(民設）放課後児童クラブ,048-862-7751
35.84172916,139.6299189,西浦和さくらっ子第３,埼玉県さいたま市桜区田島6-2-24,桜区,(民設）放課後児童クラブ,048-865-6554
35.8377071,139.6252637,田島げんきっ子,埼玉県さいたま市桜区田島10-12-1　田島小学校内,桜区,(民設）放課後児童クラブ,048-711-8311
35.8589494,139.6195728,カラフルきっず,埼玉県さいたま市桜区町谷2-15-12,桜区,(民設）放課後児童クラブ,048-789-6828
35.8597839,139.6172426,アフタースクール　ポポラー埼玉さくら園,埼玉県さいたま市桜区道場2-1-1　サクラディア　アミューズコート1Ｆ,桜区,(民設）放課後児童クラブ,048-851-0022
35.86302,139.6178,かたつむり学童クラブ栄和,埼玉県さいたま市桜区栄和2-12-12-101,桜区,(民設）放課後児童クラブ,048-716-7176
"102""",35.86297,かたつむり学童クラブ西堀,"埼玉県さいたま市""桜区西堀9-27-37　ビューハイツ101","""桜区",(民設）放課後児童クラブ,048-628-3129
35.8583137,139.6262281,第一みのり学童クラブ,埼玉県さいたま市桜区西堀7-23-5,桜区,(民設）放課後児童クラブ,048-837-7244
35.8582209,139.6262788,第二みのり学童クラブ,埼玉県さいたま市桜区西堀7-23-3-101,桜区,(民設）放課後児童クラブ,048-837-7244
35.8727241,139.6122451,あすなろ神田児童クラブ,埼玉県さいたま市桜区上大久保353-5,桜区,(民設）放課後児童クラブ,048-856-2125
35.85095,139.619,聖徳学童くらぶ,埼玉県さいたま市桜区新開2-17-13,桜区,(民設）放課後児童クラブ,048-865-3030
35.87894,139.63928,常盤北児童クラブ,埼玉県さいたま市浦和区針ヶ谷4-2-12　常盤北小学校内,浦和区,(民設）放課後児童クラブ,048-832-1115
35.850848,139.651667,太陽の家,埼玉県さいたま市浦和区岸町5-15-6,浦和区,(民設）放課後児童クラブ,048-831-7678
35.87607852,139.6522291,北浦和スターズ,埼玉県さいたま市浦和区領家2-2-8-5,浦和区,(民設）放課後児童クラブ,048-762-8780
35.87607852,139.6522291,北浦和ドリームズ,埼玉県さいたま市浦和区領家2-2-8-5,浦和区,(民設）放課後児童クラブ,048-762-8707
35.87362056,139.6458444,北浦和レインボーズ,埼玉県さいたま市浦和区北浦和3-7-9 Glory Hill北浦和 2F,浦和区,(民設）放課後児童クラブ,048-799-3015
35.87887272,139.6469422,北浦和フラワーズ,埼玉県さいたま市浦和区北浦和2-20-4　104,浦和区,(民設）放課後児童クラブ,048-711-2279
35.88131,139.642843,領家サファイア,埼玉県さいたま市浦和区針ヶ谷2-10-4　3階,浦和区,(民設）放課後児童クラブ,048-833-2308
35.88131,139.642843,領家ルビー,埼玉県さいたま市浦和区針ヶ谷2-10-4　3階,浦和区,(民設）放課後児童クラブ,048-833-2308
35.8774581,139.6657099,ぽぷら学童クラブ,埼玉県さいたま市浦和区瀬ヶ崎4-32-5,浦和区,(民設）放課後児童クラブ,048-881-5828
35.877233,139.660565,くすのき学童クラブ,埼玉県さいたま市浦和区瀬ケ崎1‐30‐8,浦和区,(民設）放課後児童クラブ,048-711-8373
35.87830976,139.6669928,さいたま児童クラブ愛さいど,埼玉県さいたま市浦和区瀬ケ崎3-15-5,浦和区,(民設）放課後児童クラブ,048-767-7212
35.8834244,139.6652688,みつばち学童クラブ,埼玉県さいたま市浦和区大東3-20-7,浦和区,(民設）放課後児童クラブ,048-711-3868
35.8834244,139.6652688,はちみつ学童クラブ,埼玉県さいたま市浦和区大東3-20-7,浦和区,(民設）放課後児童クラブ,048-711-3868
35.88594,139.640443,上木崎ユニコーン,埼玉県さいたま市浦和区上木崎2-2-13,浦和区,(民設）放課後児童クラブ,048-711-4890
35.884729,139.644034,上木崎フェニックス,埼玉県さいたま市浦和区上木崎4-4-32,浦和区,(民設）放課後児童クラブ,048-711-5727
35.887793,139.647849,上木崎グリフォン,埼玉県さいたま市浦和区上木崎5－6－18,浦和区,(民設）放課後児童クラブ,048-789-7090
35.8836419,139.6517394,木崎ペガサス,埼玉県さいたま市浦和区上木崎6-9-10,浦和区,(民設）放課後児童クラブ,048-833-0990
35.8819326,139.6544823,木崎スピカ,埼玉県さいたま市浦和区領家4-13‐5,浦和区,(民設）放課後児童クラブ,048-764-8122
35.88484466,139.6597831,あすなろ木崎児童クラブ,埼玉県さいたま市浦和区木崎1-6-4,浦和区,(民設）放課後児童クラブ,048-882-5711
35.866763,139.655962,本太学童クラブ空,埼玉県さいたま市浦和区本太4-12-8　第5グリーンハウス101・102,浦和区,(民設）放課後児童クラブ,048-885-9657
35.8669408,139.6582498,本太学童クラブ海,埼玉県さいたま市浦和区本太4-9-22,浦和区,(民設）放課後児童クラブ,070-4225-3068
35.86547545,139.6600256,本太学童クラブ光,埼玉県さいたま市浦和区本太2-21-11 2階,浦和区,(民設）放課後児童クラブ,080-2561-5458
35.86547545,139.6600256,本太学童クラブ星,埼玉県さいたま市浦和区本太2-21-11 1階,浦和区,(民設）放課後児童クラブ,070-4480-6552
35.8605184,139.6614874,仲本キッズ・ハウス,埼玉県さいたま市浦和区本太2-12-2,浦和区,(民設）放課後児童クラブ,048-882-8051
35.8629669,139.6581593,仲本キッズ・ハウス２’ｎｄ,埼玉県さいたま市浦和区本太2-9-1-101,浦和区,(民設）放課後児童クラブ,048-887-0033
35.86225412,139.6644454,和楽キッズクラブわかば,埼玉県さいたま市浦和区本太1‐9‐7,浦和区,(民設）放課後児童クラブ,048-716-1398
35.86225412,139.6644454,和楽キッズクラブふたば,埼玉県さいたま市浦和区本太1-9-5,浦和区,(民設）放課後児童クラブ,048-816-3939
35.86079281,139.6570813,らいおんきっず,埼玉県さいたま市浦和区東仲町9-6,浦和区,(民設）放課後児童クラブ,048-711-3779
35.86236598,139.6588095,らいおんきっず２,埼玉県さいたま市浦和区東仲町21-9,浦和区,(民設）放課後児童クラブ,048-711-3779
35.86051442,139.6573838,らいおんきっず３,埼玉県さいたま市浦和区東仲町9-6-3 1F,浦和区,(民設）放課後児童クラブ,080-6539-5723
35.8591875,139.6511135,うらわ子供の家楽育,埼玉県さいたま市浦和区仲町2-15-9,浦和区,(民設）放課後児童クラブ,048-822-8335
35.86398,139.64061,なかちょう子供の家楽育,埼玉県さいたま市浦和区常盤8-18-4　仲町小学校内,浦和区,(民設）放課後児童クラブ,090-3801-5054
35.86155,139.63597,のっぱら,埼玉県さいたま市中央区大戸1-34-17　1階,中央区,(民設）放課後児童クラブ,048-711-6270
35.86155,139.63597,のっぱら第２,埼玉県さいたま市中央区大戸1-34-17　2階,中央区,(民設）放課後児童クラブ,048-711-3558
35.86184589,139.6366464,のっぱら第３,埼玉県さいたま市中央区大戸1-33-12　緑水苑ホール,中央区,(民設）放課後児童クラブ,048-711-7875
35.8547349,139.6554764,友愛高砂放課後児童クラブ,埼玉県さいたま市浦和区岸町4-21-12,浦和区,(民設）放課後児童クラブ,048-833-7721
35.85563,139.654318,友愛第２高砂放課後児童クラブ,埼玉県さいたま市浦和区岸町7-1-7,浦和区,(民設）放課後児童クラブ,048-832-1440
35.85487792,139.6550295,友愛第３高砂放課後児童クラブ,埼玉県さいたま市浦和区岸町4-25-9,浦和区,(民設）放課後児童クラブ,048-833-9493
35.8580322,139.6545702,友愛第４高砂放課後児童クラブ,埼玉県さいたま市浦和区高砂2-6-15,浦和区,(民設）放課後児童クラブ,048-822-0018
35.8698472,139.6463229,友愛常盤放課後児童クラブ,埼玉県さいたま市浦和区常盤9-13-7,浦和区,(民設）放課後児童クラブ,048-832-7845
35.8716187,139.6451144,友愛第２常盤放課後児童クラブ,埼玉県さいたま市浦和区北浦和4-3-15,浦和区,(民設）放課後児童クラブ,048-822-7711
35.87014,139.6458,友愛第３常盤放課後児童クラブ,埼玉県さいたま市浦和区常盤9-19-9,浦和区,(民設）放課後児童クラブ,048-822-5505
