名称,住所,電話番号,サービス種別,開所曜日,提供時間,専門職,療育プログラム,個別療育,親支援,設備,費用,説明
BUTTERFLY　EFFECT,埼玉県さいたま市北区宮原町1-673-3,048-788-4200,児童発達支援・放課後デイ,月～土,児童発達支援（平日１２：００～１５：００、土曜祝日９：００～１１：００) 放課後等デイサービス(平日１５：００～１８：００、土曜祝日１１：００～１５：００),,粗大運動、微細運動、SST,,,,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【児童発達支援・放課後デイ】 療育: 粗大運動、微細運動、SST 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
いろは児童発達支援事業所,埼玉県さいたま市北区宮原町2-16-19 第二川人ビル2階西,048-779-8297,児童発達支援,月火木金土,全日９：００～１６：００,ST◎,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST,○,,,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【児童発達支援】 療育: 粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST 専門職: ST◎ 個別療育あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
LITALICOジュニアさいたま宮原教室,埼玉県さいたま市北区宮原町2-19-1 加瀬ビル199 4階,048-661-8277,児童発達支援,月～日,日月土・祝日である火水木金９：００～１８：００ 祝日でない火水木金１２：００～１８：００,PT○,粗大運動、微細運動、言語指導、学習支援、日常動作、SST,○,○,バランスボール、平均台、トランポリン、ボールプール、パラバルーン,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【児童発達支援】 療育: 粗大運動、微細運動、言語指導、学習支援、日常動作、SST 専門職: PT○ 個別療育あり 親支援あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
ハビー宮原駅東口教室,埼玉県さいたま市北区宮原町2-22-14 AXIS宮原駅前ビル3階B,048-776-9064,児童発達支援・放課後デイ,水～月,平日(学校終了後)１０：３０～１９：３０ 土日祝(学校休業日)９：００～１８：００,PT◎,粗大運動、微細運動、音楽/リトミック、学習支援、日常動作、SST、創作活動／運動プログラム,○,○,トランポリン、平均台、フラフープ、バランスボール、PC,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【児童発達支援・放課後デイ】 療育: 粗大運動、微細運動、音楽/リトミック、学習支援、日常動作、SST、創作活動/運動プログラム 専門職: PT◎ 個別療育あり 親支援あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
児童デイぽぷら,埼玉県さいたま市北区宮原町3-151 開明ロイヤルマンション101号,048-871-8601,放課後デイ,月～金,平日９：３０～１８：００ 学校休業日９：３０～１７：３０ 祭日９：３０～１７：００,,学習支援、日常動作、SST、公園での運動／室内動作活動,○,,ボールプール、バランスボール,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【放課後デイ】 療育: 学習支援、日常動作、SST、公園での運動/室内動作活動 個別療育あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
放課後等デイサービス　なないろ,埼玉県さいたま市北区宮原町3-475-3 チコラース10C,048-782-7151,放課後デイ,月～土,平日１０：００～１８：００ 土曜日１０：００～１７：００ 学校休業日１０：００～１７：００,,粗大運動、微細運動、音楽/リトミック、学習支援、日常動作、SST、音楽療法／創作活動／調理活動,○,,トランポリン、バランスボール、フラフープ、縄跳び、マット,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【放課後デイ】 療育: 粗大運動、微細運動、音楽/リトミック、学習支援、日常動作、SST、音楽療法/創作活動/調理活動 個別療育あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
コペルプラス　宮原教室,埼玉県さいたま市北区宮原町3-571-1 第二島村ビル2階西,048-729-6916,児童発達支援,火～土,１０：００～１８：００,,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、創作活動　※月末のみ,○,○,鉄棒、トランポリン、平均台、バランスボール等,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【児童発達支援】 療育: 粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、創作活動 ※月末のみ 個別療育あり 親支援あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
ときめきスクールありがとう,埼玉県さいたま市北区宮原町4-99-5,048-783-3484,放課後デイ,月～土,月曜日から金曜日１３：００～１７：００ 　学校休業日１３：００～１７：００,,音楽/リトミック、学習支援、日常動作、SST、外出活動,○,,,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【放課後デイ】 療育: 音楽/リトミック、学習支援、日常動作、SST、外出活動 個別療育あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
放課後デイサービスあすみるくらぶ大宮,埼玉県さいたま市北区櫛引町2-275 ウエノビル1F,048-783-5426,放課後デイ,月～金,平日１３：３０～１７：３０ 学校休業日１１：００～１７：００,OT○,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、ダンス／調理活動／創作活動,,,バランスボール,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【放課後デイ】 療育: 粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、ダンス/調理活動/創作活動 専門職: OT○ 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
ハッピーガーデン,埼玉県さいたま市北区植竹町1-330-2,048-782-4437,児童発達支援・放課後デイ,月～土,平日１１：００～１２：００　１３：００～１８：３０ 土曜日９：００～１７：００ 学校休業日９：００～１７：００,OT○、精神保健福祉士○,粗大運動、微細運動、言語指導、学習支援、日常動作、SST,○,,トランポリン、ボールプール、鉄棒,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【児童発達支援・放課後デイ】 療育: 粗大運動、微細運動、言語指導、学習支援、日常動作、SST 専門職: OT○、精神保健福祉士○ 個別療育あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
あすぽーと鉄道博物館,埼玉県さいたま市北区大成町4-125-1 ドゥエル石川1階,048-788-3953,放課後デイ,月～土,平日１０：００～１９：００ 土曜日９：００～１８：００ 学校休業日９：００～１８：００,,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、認知トレーニング／アナログゲーム療育／創作活動,○,,,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【放課後デイ】 療育: 粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、認知トレーニング/アナログゲーム療育/創作活動 個別療育あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
BUTTERFLY　EFFECT　運動&SSTクラス,埼玉県さいたま市北区土呂町1-70-12-103,048-788-4200,放課後デイ,月～土,平日１４：３０～１７：３０ 土曜日１０：００～１６：００ 学校休業日１０：００～１６：００,,粗大運動、微細運動、日常動作、SST、運動療育／マイクラ／調理活動,,,トランポリン、平均台、マット、バランスボール,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【放課後デイ】 療育: 粗大運動、微細運動、日常動作、SST、運動療育/マイクラ/調理活動 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
いっぽいっぽ土呂,埼玉県さいたま市北区土呂町2-69-6,048-782-8392,放課後デイ,月～土,平日１３：００～１８：００ 土曜日１０：００～１８：００ 学校休業日１０：００～１８：００,,粗大運動、微細運動、言語指導、音楽/リトミック、日常動作、SST、調理活動／工作／ダンス,○,,卓球台、ビニールプール,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【放課後デイ】 療育: 粗大運動、微細運動、言語指導、音楽/リトミック、日常動作、SST、調理活動/工作/ダンス 個別療育あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
エブリン・ベア,埼玉県さいたま市北区東大成町1-545-1 柳屋ビル1階,048-729-8645,児童発達支援・放課後デイ,月～土,平日１０：００～１７：００ 土曜日１０：００～１６：００ 学校休業日１０：００～１６：００,,粗大運動、微細運動、音楽/リトミック、学習支援、日常動作、SST、サントレ,,,トランポリン、とび箱、鉄棒、マット、バランスボール,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【児童発達支援・放課後デイ】 療育: 粗大運動、微細運動、音楽/リトミック、学習支援、日常動作、SST、サントレ 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
エブリン・フラワー,埼玉県さいたま市北区東大成町1-591,048-778-9096,児童発達支援,月～土,平日９：００～１６：００ 土曜日１０：００～１６：００,,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、ワーク／創作活動／リトミック,○,,トランポリン、ボルダリング,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【児童発達支援】 療育: 粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、ワーク/創作活動/リトミック 個別療育あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
放課後等デイサービスみらい,埼玉県さいたま市北区日進町1-508-9 サンシャインシティ102号室,048-779-8877,放課後デイ,月～金 第1・3土曜,平日１１：００～１８：００ 土曜日１０：００～１８：００ 学校休業：９：0０～１８：００,,粗大運動、微細運動、音楽/リトミック、学習支援、日常動作、SST、ダンス／調理活動／創作活動,○,,トランポリン、バランスボール,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【放課後デイ】 療育: 粗大運動、微細運動、音楽/リトミック、学習支援、日常動作、SST、ダンス/調理活動/創作活動 個別療育あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
まほうのくに,埼玉県さいたま市北区日進町1-529-2 コーポ桔梗,048-658-9023,放課後デイ,月～金,平日９：３０～１８：３０ 学校休業日９：００～１８：００,公認心理師○,粗大運動、微細運動、音楽/リトミック、学習支援、日常動作、SST,○,,,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【放課後デイ】 療育: 粗大運動、微細運動、音楽/リトミック、学習支援、日常動作、SST 専門職: 公認心理師○ 個別療育あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
ScatKids日進,埼玉県さいたま市北区日進町1-564-1,048-871-5825,放課後デイ,月～土,平日１４：００～１８：００ 土曜日１０：００～１６：００ 学校休業日１０：００～１６：００,,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、音楽／芸術創作／マインドフルネス,○,○,電子ピアノ３台、楽器、書道・絵画道具、バランスボール、運動用品、自立活動教材,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【放課後デイ】 療育: 粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、音楽/芸術創作/マインドフルネス 個別療育あり 親支援あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
ブロッサムジュニア　さいたま日進教室,埼玉県さいたま市北区日進町2-834-1 大畠日進ビル2階,048-657-8727,児童発達支援・放課後デイ,月～土,平日９：３０～１７：１５ 土曜日、祝日９：３０～１６：００ 学校休業日９：３０～１６：００,OT○,粗大運動、微細運動、音楽/リトミック、学習支援、日常動作、SST、調理j活動／外出、野外活動,○,○,トランポリン,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【児童発達支援・放課後デイ】 療育: 粗大運動、微細運動、音楽/リトミック、学習支援、日常動作、SST、調理j活動/外出、野外活動 専門職: OT○ 個別療育あり 親支援あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
どっぽ就労塾日進,埼玉県さいたま市北区日進町2-1112 柳田ビル3階,048-788-2117,放課後デイ,月～土,平日１５：００～１８：３０ 土曜日１０：３０～１６：３０ 学校休業日１０：３０～１６：３０,,日常動作、SST、就労訓練／社会人スキルやマナー／進路相談,○,,,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【放課後デイ】 療育: 日常動作、SST、就労訓練/社会人スキルやマナー/進路相談 個別療育あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
Ｇｒｉｐキッズ大宮日進校,埼玉県さいたま市北区日進町2-1126-10 2階,048-778-9842,放課後デイ,月～土,平日１５：００～１９：００ 土曜日１０：００～１６：００ 学校休業日１０：００～１６：００,,学習支援、日常動作、SST,○,,バランスボール、ボードゲーム,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【放課後デイ】 療育: 学習支援、日常動作、SST 個別療育あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
ハッピーキッズスペースみんと大宮日進,埼玉県さいたま市北区日進町2-1914-1,048-669-6177,児童発達支援・放課後デイ,月～日,平日１３：３０～１７：３０ 土曜日１０：００～１６：００ 学校休業日１０：００～１６：００,,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、運動療育／創作・調理活動／外出,,,跳び箱、鉄棒、バランスボール、トランポリン、平均台,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【児童発達支援・放課後デイ】 療育: 粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、運動療育/創作・調理活動/外出 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
あすぽーと宮原,埼玉県さいたま市北区日進町3-491 リエス宮原ウエスト101号室,048-783-3260,放課後デイ,月～土,平日１０：００～１９：００ 土曜日９：００～１８：００ 学校休業日９：００～１８：００,,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、認知トレーニング／アナログゲーム療育／創作活動,○,,,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【放課後デイ】 療育: 粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、認知トレーニング/アナログゲーム療育/創作活動 個別療育あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
放課後等デイサービス　キラキラ本郷町,埼玉県さいたま市北区本郷町210,048-783-4015,放課後デイ,月～土,平日１０：００～１９：００ 土曜日1０：００～１７：００　　　　　　　　　　　　　　　　学校休業日１０：００～１７：００,,粗大運動、微細運動、音楽/リトミック、学習支援、日常動作、SST、調理活動／創作活動／外出活動,,,トランポリン、バランスボール,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【放課後デイ】 療育: 粗大運動、微細運動、音楽/リトミック、学習支援、日常動作、SST、調理活動/創作活動/外出活動 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
コペルプラスジュニア宮原・土呂教室,埼玉県さいたま市北区本郷町396 2F,048-662-9602,放課後デイ,日～土,１０：００～１８：００,,粗大運動、微細運動、学習支援、日常動作、SST、創作活動,○,○,トランポリン、平均台、鉄道、バランスボール、巧技台,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【放課後デイ】 療育: 粗大運動、微細運動、学習支援、日常動作、SST、創作活動 個別療育あり 親支援あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
ゆめの園みらいず本郷　児童発達支援・放課後等デイサービス,埼玉県さいたま市北区本郷町753 サンヴィレッジ本郷104号室,048-871-7610,児童発達支援・放課後デイ,月～土,平日１４：３０～１７：３０ 土曜日１０：００～１６：００ 学校休業日１０：００～１６：００,,粗大運動、微細運動、日常動作、SST、外出活動／ダンス／創作活動,○,,トランポリン、バランスボール,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【児童発達支援・放課後デイ】 療育: 粗大運動、微細運動、日常動作、SST、外出活動/ダンス/創作活動 個別療育あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
療育ポータルスタジオCoreMore新都心スタジオ,埼玉県さいたま市大宮区吉敷町4-93-5 大宮教育会館1階,048-729-7737,児童発達支援,月～土,９：１５～１７：１５,PT◎、OT◎、ST◎、精神保健福祉士◎,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、創作活動,○,,ボルダリング、トランポリン、平均台,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【児童発達支援】 療育: 粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、創作活動 専門職: PT◎、OT◎、ST◎、精神保健福祉士◎ 個別療育あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
ぶらいと,埼玉県さいたま市大宮区吉敷町4-178,048-643-4161,児童発達支援,月～土,平日９：００～１２：００ 　　   １４：００～１７:００ 土曜９：００～１２：００ 　　   １４：００～１７:００,PT○、OT◎、ST◎,粗大運動、微細運動、言語指導、日常動作、SST、アート活動,○,,トランポリン、ボールプール、鉄棒＆ロープ、平均台、バランスボール,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【児童発達支援】 療育: 粗大運動、微細運動、言語指導、日常動作、SST、アート活動 専門職: PT○、OT◎、ST◎ 個別療育あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
いっぽいっぽ大宮氷川台,埼玉県さいたま市大宮区高鼻町3-1-2,048-782-6042,放課後デイ,月～土,平日１３：００～１８：００ 学校休業日１０：００～１８：００,,粗大運動、微細運動、言語指導、日常動作、ダンス　／創作活動／日常動作,,,バランスボール,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【放課後デイ】 療育: 粗大運動、微細運動、言語指導、日常動作、ダンス /創作活動/日常動作 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
コペルプラス　大宮教室,埼玉県さいたま市大宮区桜木町1-175 KGビル3階,048-778-8693,児童発達支援,日～月,９：４０～１２：００ １４：００～１７：４０,,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、製作活動,○,○,月のプログラムにより、プレイルームに配置、（トランポリン、鉄棒、平均台、バランスボール、ボールプール）,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【児童発達支援】 療育: 粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、製作活動 個別療育あり 親支援あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
ハビー大宮桜木町２丁目教室,埼玉県さいたま市大宮区桜木町2-7-9 鍋島ビル1階101,048-788-4075,児童発達支援・放課後デイ,月～日,平日１０：３０～１９：３０ 土曜日９：００～１８：００ 学校休業日９：００～１８：００,OT○,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、創作活動／レクリエーション／季節のイベント,○,,トランポリン、バランスボール、平均台、マット,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【児童発達支援・放課後デイ】 療育: 粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、創作活動/レクリエーション/季節のイベント 専門職: OT○ 個別療育あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
LITALICOジュニア大宮教室,埼玉県さいたま市大宮区桜木町2-8-2 第2金子ビル5階,048-658-2555,児童発達支援・放課後デイ,月～日,【児童発達支援】 金～月１０：００～１８：００ 火～木１２：００～１８：００ 【放課後等デイサービス】 土日１０：００～１７：００ 月～金１４：００～１８：００ 学校休業日１４：００～１８：００,PT◎、OT○、公認心理師◎、精神保健福祉士○,粗大運動、微細運動、言語指導、学習支援、日常動作、SST,○,○,トランポリン、バランスボール、平均台、鉄棒,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【児童発達支援・放課後デイ】 療育: 粗大運動、微細運動、言語指導、学習支援、日常動作、SST 専門職: PT◎、OT○、公認心理師◎、精神保健福祉士○ 個別療育あり 親支援あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
ハビー大宮大栄橋教室,埼玉県さいたま市大宮区桜木町2-335-1 レインボー大宮ビル5階,048-871-6624,児童発達支援,日～土,９：４５～１７：００,,粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、就学準備／感覚統合,○,○,トランポリン、ボールプール、バランスボール、滑り台、平均台,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【児童発達支援】 療育: 粗大運動、微細運動、言語指導、音楽/リトミック、学習支援、日常動作、SST、就学準備/感覚統合 個別療育あり 親支援あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
プティ倶楽部　大宮,埼玉県さいたま市大宮区桜木町3-91,048-677-3917,放課後デイ,月～土,平日１４：００～1８：００ 土曜日９：００～１７：００ 学校休業日９：００～１７：００,,粗大運動、微細運動、音楽/リトミック、学習支援、日常動作、SST、課外活動(畑・公園・植物館等)／調理活動(おやつ作り等)／創作活動(ダンス・壁画制作・科学活動等),○,,トランポリン、マット、平均台、鉄棒、バランスボール,受給者証利用で月額上限4600円（世帯年収890万円未満）/ 37200円（それ以上）,【放課後デイ】 療育: 粗大運動、微細運動、音楽/リトミック、学習支援、日常動作、SST、課外活動(畑・公園・植物館等)/調理活動(おやつ作り等)/創作活動(ダンス・壁画制作・科学活動等) 個別療育あり 【費用】受給者証利用で月額上限4600円(世帯年収890万円未満)/ 37200円(それ以上)
