名称,住所,区,種別,設置区分,定員,電話番号
奈良保育園,埼玉県さいたま市北区奈良町125-6,北区,認可保育所,公立,106,048-651-7172
七里東保育園,埼玉県さいたま市見沼区新堤40,見沼区,認可保育所,公立,100,048-683-3969
指扇保育園,埼玉県さいたま市西区高木567-3,西区,認可保育所,公立,100,048-623-5065
泰平保育園,埼玉県さいたま市北区今羽町596,北区,認可保育所,公立,100,048-667-1847
馬宮保育園,埼玉県さいたま市西区西遊馬119,西区,認可保育所,公立,106,048-623-4014
三橋西保育園,埼玉県さいたま市西区三橋6-381-1,西区,認可保育所,公立,80,048-622-1350
春野保育園,埼玉県さいたま市見沼区春野1-7-1,見沼区,認可保育所,公立,100,048-686-6756
上落合保育園,埼玉県さいたま市中央区上落合2-9-10,中央区,認可保育所,公立,90,048-852-1587
大戸保育園,埼玉県さいたま市中央区大戸2-7-19,中央区,認可保育所,公立,90,048-853-2410
下落合保育園,埼玉県さいたま市中央区上落合1-5-3,中央区,認可保育所,公立,90,048-711-6720
鈴谷保育園,埼玉県さいたま市中央区鈴谷7-3-31,中央区,認可保育所,公立,110,048-855-1034
八王子保育園,埼玉県さいたま市中央区八王子5-12-17,中央区,認可保育所,公立,90,048-855-4700
西町保育園,埼玉県さいたま市岩槻区西町3-1-24,岩槻区,認可保育所,公立,90,048-756-4632
岩槻本町保育園,埼玉県さいたま市岩槻区本町2-5-5,岩槻区,認可保育所,公立,60,048-756-7565
諏訪保育園,埼玉県さいたま市岩槻区諏訪2-5-1,岩槻区,認可保育所,公立,130,048-794-1620
美幸保育園,埼玉県さいたま市岩槻区美幸町3-18,岩槻区,認可保育所,公立,90,048-757-8450
浦和ひなどり保育園,埼玉県さいたま市桜区西堀2-6-26,桜区,認可保育所,私立,145,048-861-8311
聖徳保育園,埼玉県さいたま市桜区新開2-17-13,桜区,認可保育所,私立,80,048-862-1601
わらしべ保育園,埼玉県さいたま市桜区西堀5-5-3,桜区,認可保育所,私立,120,048-862-3123
エンゼル保育園,埼玉県さいたま市浦和区神明2-21-14,浦和区,認可保育所,私立,35,048-822-8696
ひまわり乳児保育園,埼玉県さいたま市浦和区針ヶ谷2-16-16,浦和区,認可保育所,私立,30,048-827-0777
エンゼル麗保育園,埼玉県さいたま市緑区中尾181,緑区,認可保育所,私立,96,048-874-2608
こぐま保育園,埼玉県さいたま市緑区宮本2-7-18,緑区,認可保育所,私立,78,048-873-0558
ひまわりDo・Do保育園,埼玉県さいたま市桜区神田596-1,桜区,認可保育所,私立,110,048-853-5770
常盤こころ保育園,埼玉県さいたま市浦和区常盤7-12-8,浦和区,認可保育所,私立,120,048-824-5982
東浦和みどり保育園,埼玉県さいたま市緑区東浦和4-30-1,緑区,認可保育所,私立,128,048-874-1719
椎の実保育園,埼玉県さいたま市浦和区瀬ヶ崎5-21-18,浦和区,認可保育所,私立,70,048-887-2112
保育園萌夢,埼玉県さいたま市南区太田窪4-17-7,南区,認可保育所,私立,30,048-885-8489
うらわライトハウス保育園,埼玉県さいたま市浦和区北浦和3-8-9,浦和区,認可保育所,私立,80,048-834-1711
大宮さくら保育園,埼玉県さいたま市北区別所町98-6,北区,認可保育所,私立,60,048-664-5054
あすなろ保育園,埼玉県さいたま市見沼区南中野582,見沼区,認可保育所,私立,110,048-684-6132
白菊保育園,埼玉県さいたま市大宮区天沼町1-148-1,大宮区,認可保育所,私立,120,048-643-0880
明日香保育園,埼玉県さいたま市西区植田谷本316,西区,認可保育所,私立,110,048-622-5586
本郷保育園,埼玉県さいたま市北区本郷町1328-1,北区,認可保育所,私立,110,048-652-3440
やまばと保育園,埼玉県さいたま市見沼区染谷2-203-1,見沼区,認可保育所,私立,60,048-685-0846
大宮つぼみ保育園,埼玉県さいたま市北区土呂町2-9-19,北区,認可保育所,私立,60,048-668-5203
ハーモニー保育園,埼玉県さいたま市北区宮原町2-39-16,北区,認可保育所,私立,45,048-667-8655
ふたば保育園,埼玉県さいたま市見沼区東大宮5-26-11,見沼区,認可保育所,私立,60,048-685-7431
与野ひなどり保育園,埼玉県さいたま市中央区本町西2-1-11,中央区,認可保育所,私立,90,048-852-4202
あおぞら保育園,埼玉県さいたま市中央区上落合8-11-20,中央区,認可保育所,私立,90,048-857-8841
まどか保育園,埼玉県さいたま市中央区円阿弥7-10-9,中央区,認可保育所,私立,70,048-855-3331
もとの木保育園,埼玉県さいたま市大宮区堀の内町3-236-2,大宮区,認可保育所,私立,60,048-650-0202
見沼あかね保育園,埼玉県さいたま市見沼区大和田町2-1218-9,見沼区,認可保育所,私立,100,048-688-1110
武蔵浦和Jキッズステーション,埼玉県さいたま市南区白幡5-11-10,南区,認可保育所,私立,60,048-710-6681
たちばな保育園,埼玉県さいたま市岩槻区太田1-10-19,岩槻区,認可保育所,私立,60,048-756-1275
岩槻保育園,埼玉県さいたま市岩槻区宮町2-10-3,岩槻区,認可保育所,私立,96,048-756-3350
東武保育園,埼玉県さいたま市岩槻区飯塚624,岩槻区,認可保育所,私立,90,048-798-5632
岩槻さくら保育園,埼玉県さいたま市岩槻区表慈恩寺725-2,岩槻区,認可保育所,私立,120,048-794-6888
東岩槻保育園,埼玉県さいたま市岩槻区東岩槻2-4-6,岩槻区,認可保育所,私立,60,048-794-7452
東武第二保育園,埼玉県さいたま市岩槻区府内2-27-48,岩槻区,認可保育所,私立,80,048-798-4450
かわいデイナースリー保育園,埼玉県さいたま市岩槻区平林寺487,岩槻区,認可保育所,私立,120,048-757-2777
まみ保育園,埼玉県さいたま市西区内野本郷383-8,西区,認可保育所,私立,50,048-673-0330
今羽保育園,埼玉県さいたま市北区吉野町1-19-1,北区,認可保育所,私立,60,048-661-6011
にじいろ保育園,埼玉県さいたま市北区宮原町1-475-7,北区,認可保育所,私立,90,048-652-5400
ルミエール保育園,埼玉県さいたま市見沼区南中丸939-5,見沼区,認可保育所,私立,60,048-683-1216
与野本町駅前保育所,埼玉県さいたま市中央区鈴谷9-5-18,中央区,認可保育所,私立,72,048-840-1151
いちご桜保育園,埼玉県さいたま市桜区田島3-6-7,桜区,認可保育所,私立,60,048-839-1717
こびとの森保育園,埼玉県さいたま市南区白幡3-4-17,南区,認可保育所,私立,90,048-861-7368
松木保育園,埼玉県さいたま市緑区松木1-19-21,緑区,認可保育所,私立,60,048-810-5237
アーバンみらい東大宮プライムキッズガーデン保育所,埼玉県さいたま市見沼区春野2-5-1,見沼区,認可保育所,私立,120,048-682-7700
菁莪保育園,埼玉県さいたま市桜区西堀1-11-1,桜区,認可保育所,私立,60,048-865-4321
若草保育園,埼玉県さいたま市桜区南元宿1-12-20,桜区,認可保育所,私立,30,048-837-2666
向こころ保育園,埼玉県さいたま市南区大谷口5436-3,南区,認可保育所,私立,90,048-875-1860
武蔵浦和桑の実保育園,埼玉県さいたま市南区白幡5-11-7,南区,認可保育所,私立,45,048-838-9803
リズム保育園,埼玉県さいたま市岩槻区釣上新田1425-3,岩槻区,認可保育所,私立,45,048-798-3535
ひまわりDo・Do第2保育園,埼玉県さいたま市桜区神田595-1,桜区,認可保育所,私立,60,048-853-3232
おうぎの森保育園,埼玉県さいたま市西区高木598,西区,認可保育所,私立,110,048-625-7272
アスク東大宮保育園,埼玉県さいたま市見沼区東大宮2-23-3,見沼区,認可保育所,私立,90,048-661-5218
南浦和たいよう保育園,埼玉県さいたま市南区南浦和2-12-17,南区,認可保育所,私立,60,048-813-6036
けやきの森保育園,埼玉県さいたま市北区日進町2-1519-1,北区,認可保育所,私立,90,048-661-6525
ChaChaChildrenSuzuya,埼玉県さいたま市中央区鈴谷5-6-11,中央区,認可保育所,私立,90,048-857-7101
めだか保育園,埼玉県さいたま市緑区大間木3-10-10,緑区,認可保育所,私立,60,048-795-8011
あいう園美園浦和美園駅前保育園,埼玉県さいたま市緑区美園5-51-2,緑区,認可保育所,私立,90,048-878-7733
ゆめいろ保育園,埼玉県さいたま市中央区本町東4-1-5,中央区,認可保育所,私立,90,048-840-5850
くすのき保育園,埼玉県さいたま市北区日進町3-543-3,北区,認可保育所,私立,60,048-796-4901
まきば保育園,埼玉県さいたま市見沼区大和田町1-1343-1,見沼区,認可保育所,私立,60,048-682-0002
スターチャイルド《みなみ保育園》,埼玉県さいたま市南区別所6-15-22,南区,認可保育所,私立,90,048-872-1000
みう保育園,埼玉県さいたま市緑区美園4-5-27,緑区,認可保育所,私立,60,048-878-1888
あおぞら西保育園,埼玉県さいたま市西区宮前町695-2,西区,認可保育所,私立,90,048-783-3755
遊美保育園,埼玉県さいたま市北区本郷町106,北区,認可保育所,私立,80,048-654-8714
大宮むさしの保育園,埼玉県さいたま市北区宮原町1-430,北区,認可保育所,私立,83,048-664-6659
そらいろ保育園,埼玉県さいたま市中央区上落合5-20-20,中央区,認可保育所,私立,45,048-853-9000
浦和たいよう保育園,埼玉県さいたま市浦和区高砂2-1-12,浦和区,認可保育所,私立,60,048-789-7201
いちご保育園,埼玉県さいたま市南区辻4-11-12,南区,認可保育所,私立,79,048-789-7351
うぃず日進駅前保育園,埼玉県さいたま市北区日進町2-1859-1,北区,認可保育所,私立,110,048-871-8457
えがお保育園,埼玉県さいたま市北区宮原町4-83-5,北区,認可保育所,私立,90,048-782-5500
風渡野保育園,埼玉県さいたま市見沼区風渡野1-10-7,見沼区,認可保育所,私立,90,048-682-2550
ゆめの樹保育園,埼玉県さいたま市南区鹿手袋4-17-22,南区,認可保育所,私立,90,048-839-8888
彩の森保育園,埼玉県さいたま市南区鹿手袋6-22-28,南区,認可保育所,私立,90,048-866-8165
Gakkenほいくえん武蔵浦和,埼玉県さいたま市南区別所6-19-8,南区,認可保育所,私立,80,048-872-3201
けやきの森保育園芝原園,埼玉県さいたま市緑区芝原1-12-2,緑区,認可保育所,私立,80,048-810-5505
きらり保育園,埼玉県さいたま市岩槻区釣上新田1428,岩槻区,認可保育所,私立,60,048-812-4850
ゆうりん保育園,埼玉県さいたま市北区土呂町1-28-1,北区,認可保育所,私立,116,048-699-0180
桜花保育園,埼玉県さいたま市大宮区桜木町4-554-1,大宮区,認可保育所,私立,100,048-782-8286
らそ保育園,埼玉県さいたま市大宮区櫛引町1-574,大宮区,認可保育所,私立,80,048-666-4149
あおぞらウィンクルム保育園,埼玉県さいたま市大宮区桜木町1-185-2のびのびプラザ大宮2階,大宮区,認可保育所,私立,90,048-782-8716
ふたば夢保育園,埼玉県さいたま市見沼区東大宮7-70-11,見沼区,認可保育所,私立,90,048-812-4126
きらめき保育園,埼玉県さいたま市見沼区南中野689-1,見沼区,認可保育所,私立,100,048-682-5507
南よの虹保育園,埼玉県さいたま市中央区鈴谷1-18-6,中央区,認可保育所,私立,120,048-858-1900
あいう園浦和美園ウィングシティ保育園,埼玉県さいたま市緑区美園5-49-13,緑区,認可保育所,私立,80,048-812-6755
西遊馬保育園,埼玉県さいたま市西区西遊馬771-11,西区,認可保育所,私立,90,048-620-7879
未来ほしの子保育園,埼玉県さいたま市西区三橋5-35,西区,認可保育所,私立,120,048-625-2222
にじの星保育園,埼玉県さいたま市北区宮原町3-209-2,北区,認可保育所,私立,60,048-871-6687
大宮みぬま保育園,埼玉県さいたま市見沼区大和田町2-1633-1,見沼区,認可保育所,私立,100,048-684-6568
ニチイキッズさいたま保育園,埼玉県さいたま市桜区栄和5-15-39,桜区,認可保育所,私立,90,048-851-0715
東浦和たいよう保育園,埼玉県さいたま市緑区東浦和4-14-1,緑区,認可保育所,私立,80,048-873-2222
大宮日進さくらんぼ保育園,埼玉県さいたま市北区日進町2-1914-7,北区,認可保育所,私立,90,048-788-2820
太陽の子堀の内保育園,埼玉県さいたま市大宮区堀の内町1-178-1,大宮区,認可保育所,私立,70,048-650-6611
アスクむさしうらわ保育園,埼玉県さいたま市南区別所7-1-12,南区,認可保育所,私立,60,048-872-8107
アートチャイルドケア南浦和,埼玉県さいたま市南区文蔵2-15-12,南区,認可保育所,私立,60,048-710-6123
いちご南保育園,埼玉県さいたま市南区大谷口717,南区,認可保育所,私立,120,048-882-1234
さいたまたいよう保育園,埼玉県さいたま市南区南浦和1-22-15,南区,認可保育所,私立,80,048-887-0606
太陽の子大谷口保育園,埼玉県さいたま市南区大谷口2319-1,南区,認可保育所,私立,100,048-712-0600
保育園第二萌夢,埼玉県さいたま市南区大谷口1484-3,南区,認可保育所,私立,66,048-884-7722
保育園ナチュラル,埼玉県さいたま市緑区三室1964-4,緑区,認可保育所,私立,110,048-829-7793
第2東浦和みどり保育園,埼玉県さいたま市緑区東浦和7-20-11,緑区,認可保育所,私立,70,048-826-5358
るい保育園,埼玉県さいたま市緑区道祖土3-13-3,緑区,認可保育所,私立,90,048-767-3839
西大宮どんぐり保育園,埼玉県さいたま市西区西大宮1-1-3,西区,認可保育所,私立,90,048-783-3361
野の花すみれ保育園,埼玉県さいたま市西区三橋5-641-3,西区,認可保育所,私立,40,048-782-4386
あい音保育園,埼玉県さいたま市北区宮原町4-3-9,北区,認可保育所,私立,90,048-729-5831
蓮沼保育園,埼玉県さいたま市見沼区蓮沼100-1,見沼区,認可保育所,私立,90,048-699-1641
さいたまちとせ保育園,埼玉県さいたま市中央区上落合6-17-21,中央区,認可保育所,私立,70,048-857-1115
リトルやまゆり保育園,埼玉県さいたま市中央区上落合9-16-3,中央区,認可保育所,私立,100,048-858-2500
Gakkenほいくえん浦和,埼玉県さいたま市浦和区高砂1-16-12,浦和区,認可保育所,私立,50,048-871-2780
スターチャイルド《浦和保育園》,埼玉県さいたま市浦和区東高砂町25-7,浦和区,認可保育所,私立,60,048-871-0250
ゆめの樹第二保育園,埼玉県さいたま市南区鹿手袋4-17-30,南区,認可保育所,私立,60,048-711-1414
ゆめの星保育園,埼玉県さいたま市南区南浦和3-5-16MDビル2階、3階,南区,認可保育所,私立,90,048-711-1154
小鳩保育園南浦和,埼玉県さいたま市南区南浦和2-42-18,南区,認可保育所,私立,80,048-871-1610
さい桜保育園,埼玉県さいたま市南区曲本4-8-2,南区,認可保育所,私立,100,048-865-0101
チャイルドスクエアむさしうらわ,埼玉県さいたま市南区別所6-4-12,南区,認可保育所,私立,60,048-872-1717
あおば保育園,埼玉県さいたま市南区沼影1-11-2スカイ&ガーデンA棟1階,南区,認可保育所,私立,50,048-863-9997
ふらっと保育園,埼玉県さいたま市緑区原山2-3-26,緑区,認可保育所,私立,110,048-789-6655
ブライト保育園浦和美園,埼玉県さいたま市緑区下野田509,緑区,認可保育所,私立,90,048-812-0190
大宮たんぽぽ保育園,埼玉県さいたま市北区土呂町1-46-1,北区,認可保育所,私立,90,048-729-8788
東大成ひなた保育園,埼玉県さいたま市北区東大成町1-656-1,北区,認可保育所,私立,60,048-729-6308
大成たいよう保育園,埼玉県さいたま市大宮区大成町2-161-1,大宮区,認可保育所,私立,80,048-778-8615
みずほ保育園大宮天沼,埼玉県さいたま市大宮区天沼町1-505-2,大宮区,認可保育所,私立,60,048-658-3240
大宮すこやか保育園,埼玉県さいたま市大宮区吉敷町4-197-2,大宮区,認可保育所,私立,80,048-640-1171
新都心ひなた保育園,埼玉県さいたま市大宮区北袋町2-343,大宮区,認可保育所,私立,90,048-871-5881
あすなろ若葉保育園,埼玉県さいたま市見沼区南中野605,見沼区,認可保育所,私立,90,048-680-5335
きらら園,埼玉県さいたま市見沼区東大宮7-7-9,見沼区,認可保育所,私立,50,048-682-0120
Gakkenほいくえんさいたま新都心,埼玉県さいたま市中央区新都心11-1JRさいたま新都心ビル1階,中央区,認可保育所,私立,60,048-762-9242
わらしべ第二保育園,埼玉県さいたま市桜区西堀8-3-13,桜区,認可保育所,私立,90,048-711-2885
たじま絆保育園,埼玉県さいたま市桜区田島3-13-4,桜区,認可保育所,私立,90,048-711-5697
北浦和駅前保育園,埼玉県さいたま市浦和区元町2-1-3ライオンズプラザ浦和元町シティ3階,浦和区,認可保育所,私立,100,048-813-1177
輝萌の森浦和園,埼玉県さいたま市浦和区仲町3-2-24,浦和区,認可保育所,私立,50,048-678-4191
Gakkenほいくえん浦和前地,埼玉県さいたま市浦和区前地2-8-17,浦和区,認可保育所,私立,70,048-764-9632
小鳩保育園南本町,埼玉県さいたま市南区南本町2-22-2,南区,認可保育所,私立,90,048-833-5810
コスモス保育園,埼玉県さいたま市南区鹿手袋3-1-7,南区,認可保育所,私立,60,048-837-7999
きらり遊愛保育園,埼玉県さいたま市緑区美園3-8-3,緑区,認可保育所,私立,60,048-762-6712
美園にじのこ保育園,埼玉県さいたま市緑区下野田450,緑区,認可保育所,私立,60,048-799-3535
西大宮青藍保育園,埼玉県さいたま市西区西大宮3-25-5,西区,認可保育所,私立,80,048-729-6726
うぐす保育園日進,埼玉県さいたま市北区日進町2-1746-3,北区,認可保育所,私立,60,048-661-0880
みずほ保育園与野新中里,埼玉県さいたま市中央区新中里3-14-6,中央区,認可保育所,私立,90,048-851-3240
上木崎保育所,埼玉県さいたま市浦和区上木崎2-6-7,浦和区,認可保育所,私立,90,048-823-7051
うらわポポロ保育園,埼玉県さいたま市浦和区常盤9-15-19,浦和区,認可保育所,私立,80,048-711-5456
常盤たいよう保育園,埼玉県さいたま市浦和区常盤10-19-31,浦和区,認可保育所,私立,90,048-814-3177
武蔵浦和クマさん保育所,埼玉県さいたま市南区鹿手袋5-4-5,南区,認可保育所,私立,80,048-836-0011
ゆめの駅保育園,埼玉県さいたま市南区鹿手袋3-15-2,南区,認可保育所,私立,90,048-711-2245
中浦和まりーな保育園,埼玉県さいたま市南区別所5-10-17,南区,認可保育所,私立,80,048-836-0001
武蔵浦和ひなた保育園,埼玉県さいたま市南区白幡6-5-8,南区,認可保育所,私立,120,048-767-3114
いちごの里保育園,埼玉県さいたま市南区曲本5-10-6,南区,認可保育所,私立,50,048-711-7120
みらい保育園,埼玉県さいたま市緑区大間木2-25-26,緑区,認可保育所,私立,100,048-873-3363
浦和みその保育園,埼玉県さいたま市緑区美園4-16-1,緑区,認可保育所,私立,120,048-767-4465
美園リズム保育園,埼玉県さいたま市岩槻区釣上新田695,岩槻区,認可保育所,私立,120,048-797-2966
おひさま保育園岩槻,埼玉県さいたま市岩槻区西町2-5-12,岩槻区,認可保育所,私立,60,048-797-8807
大宮みちのこ保育園,埼玉県さいたま市北区植竹町2-69-6,北区,認可保育所,私立,80,048-788-1878
桜花第二保育園,埼玉県さいたま市大宮区桜木町4-570-1,大宮区,認可保育所,私立,90,048-782-5963
保育園ミルキーウェイ大成園,埼玉県さいたま市大宮区大成町3-280,大宮区,認可保育所,私立,60,048-667-2340
大宮西口ひなた保育園,埼玉県さいたま市大宮区桜木町4-928-1,大宮区,認可保育所,私立,90,048-644-9227
こどものしろ保育園,埼玉県さいたま市見沼区東大宮4-9-8,見沼区,認可保育所,私立,60,048-767-7672
小鳩保育園南与野,埼玉県さいたま市中央区鈴谷2-537-1,中央区,認可保育所,私立,90,048-799-2831
うぃず針ヶ谷保育園,埼玉県さいたま市浦和区針ヶ谷1-4-14,浦和区,認可保育所,私立,60,048-767-4297
浦和いろは保育園,埼玉県さいたま市浦和区常盤8-15-9,浦和区,認可保育所,私立,100,048-826-5407
リップル保育園与野,埼玉県さいたま市浦和区上木崎1-3-5-1,浦和区,認可保育所,私立,70,048-755-9229
ながれ星保育園北浦和,埼玉県さいたま市浦和区北浦和1-6-7,浦和区,認可保育所,私立,60,048-762-7492
ふらっとセントラル保育園,埼玉県さいたま市浦和区高砂3-8-15高砂SSビル1、2階,浦和区,認可保育所,私立,50,048-755-9877
くまの子倶楽部三室保育園本館,埼玉県さいたま市緑区三室496-1,緑区,認可保育所,私立,90,048-875-6067
きらりつばさ保育園,埼玉県さいたま市緑区美園3-29-6,緑区,認可保育所,私立,90,048-711-1808
遍照浦和美園保育園,埼玉県さいたま市緑区美園3-10-16,緑区,認可保育所,私立,60,048-812-2244
保育園大きなぞうさん,埼玉県さいたま市緑区美園6-7-18,緑区,認可保育所,私立,90,048-753-9883
ステラさいたま大門保育園,埼玉県さいたま市緑区大門1223-1,緑区,認可保育所,私立,90,048-762-8282
めいあい保育園,埼玉県さいたま市西区西大宮1-46-12,西区,認可保育所,私立,100,048-729-7833
まーぶる保育園,埼玉県さいたま市北区宮原町1-533-3,北区,認可保育所,私立,80,048-778-8360
はすぬま第二保育園,埼玉県さいたま市見沼区蓮沼1786-1,見沼区,認可保育所,私立,90,048-715-1187
保育園ハニーガーデン,埼玉県さいたま市見沼区南中丸760,見沼区,認可保育所,私立,60,048-793-4113
七里めぐみ保育園,埼玉県さいたま市見沼区大谷1201,見沼区,認可保育所,私立,80,048-796-7698
保育園ミルキーウェイ東大宮園,埼玉県さいたま市見沼区東大宮5-40-1,見沼区,認可保育所,私立,90,048-884-9624
リップル保育園鈴谷,埼玉県さいたま市中央区鈴谷9-10-6,中央区,認可保育所,私立,59,048-767-4009
保育園ミルキーウェイインターナショナル新都心園,埼玉県さいたま市中央区下落合4-8-17,中央区,認可保育所,私立,65,048-853-6900
木崎たいよう保育園,埼玉県さいたま市浦和区木崎5-19-7,浦和区,認可保育所,私立,90,048-813-0009
小鳩保育園高砂,埼玉県さいたま市浦和区高砂4-8-23,浦和区,認可保育所,私立,90,048-710-5810
保育園ミルキーウェイ武蔵浦和園,埼玉県さいたま市南区沼影1-36-30,南区,認可保育所,私立,60,048-839-6355
はれぞら保育園,埼玉県さいたま市南区太田窪3170,南区,認可保育所,私立,80,048-767-7132
いちごの花保育園,埼玉県さいたま市南区鹿手袋3-15-13,南区,認可保育所,私立,60,048-767-6116
つばき保育園,埼玉県さいたま市緑区東浦和1-13-5,緑区,認可保育所,私立,90,048-873-8882
アルタキッズ美園駅前園,埼玉県さいたま市緑区下野田8,緑区,認可保育所,私立,78,048-711-3152
きらり白妙保育園,埼玉県さいたま市岩槻区美園東1-6-11,岩槻区,認可保育所,私立,60,048-872-7050
アカツキ保育園,埼玉県さいたま市西区西大宮4-1-4,西区,認可保育所,私立,70,048-657-8148
えがお三橋保育園,埼玉県さいたま市西区三橋6-654-2,西区,認可保育所,私立,100,048-783-2480
くれよん保育園虹,埼玉県さいたま市西区宮前町1238,西区,認可保育所,私立,71,048-778-9752
西大宮はばたき保育園,埼玉県さいたま市西区西大宮3-9-3,西区,認可保育所,私立,80,048-621-4350
明日香西大宮保育園,埼玉県さいたま市西区西大宮3-19-6,西区,認可保育所,私立,60,048-729-8456
西大宮まりーな保育園,埼玉県さいたま市西区西大宮3-61-7,西区,認可保育所,私立,96,048-621-3050
指扇はっぴー保育園,埼玉県さいたま市西区指扇1379-1,西区,認可保育所,私立,80,048-623-0881
まーぶるゆうゆう保育園,埼玉県さいたま市北区宮原町4-94-3,北区,認可保育所,私立,90,048-729-8730
こんばの森保育園,埼玉県さいたま市北区今羽町650-3,北区,認可保育所,私立,96,048-782-7156
みずほ保育園大宮大成,埼玉県さいたま市北区大成町4-453-2,北区,認可保育所,私立,50,048-652-3240
宮原西口クマさん保育所,埼玉県さいたま市北区日進町3-150,北区,認可保育所,私立,90,048-662-8585
とろポポロ保育園,埼玉県さいたま市北区土呂町2-9-10,北区,認可保育所,私立,45,048-669-5210
大宮ひなた保育園,埼玉県さいたま市大宮区上小町1146-2,大宮区,認可保育所,私立,120,048-643-8004
ゆりかご保育園,埼玉県さいたま市大宮区東町1-222-1,大宮区,認可保育所,私立,67,048-782-7420
